# Interacting fermions (standard model)
# L=14, Delta=1, W=2.0, dmax=5
# Comparison between projected perturbation ||N_i^perp||^2 and its approximation ||N~_i||^2
# ||N_i^perp||^2 ||~N_i||^2
4.792815562500000320e-02 4.789969959999999805e-02
5.331527180099999985e-02 5.331342460899999441e-02
4.535664684099999927e-02 4.504878900899999400e-02
2.244273648099999810e-02 2.244063920399999579e-02
4.579685600399999862e-02 4.579685600399999862e-02
4.319663424399999840e-02 4.319538722499999955e-02
4.243146812100000165e-02 4.243023219599999923e-02
4.604457639999999519e-02 4.603127340099999465e-02
5.733726030399999979e-02 5.708419992899999712e-02
5.162392968099999840e-02 5.090754312899999773e-02
5.392937952899999610e-02 5.391869761599999561e-02
3.863701296899999665e-02 3.863701296899999665e-02
4.969689318399999473e-02 4.969421808400000667e-02
5.358854606400000054e-02 5.358576819599999985e-02
4.889980368900000152e-02 4.889980368900000152e-02
4.934573532099999910e-02 4.934173689999999529e-02
4.694935568400000064e-02 4.694588890000000320e-02
4.053900364899999664e-02 4.053457422400000287e-02
4.423955022399999465e-02 4.423955022399999465e-02
5.019705820900000059e-02 5.019616202499999763e-02
5.020915747600000062e-02 5.020870932899999806e-02
5.488899265599999494e-02 5.488571272900000936e-02
5.641242516900000364e-02 5.641147512099999733e-02
4.940706472899999979e-02 4.940662017599999761e-02
4.551182222499999819e-02 4.550926224099999945e-02
4.132601094399999953e-02 4.132601094399999953e-02
2.295437104899999969e-02 2.295376502499999957e-02
5.047930497599999178e-02 5.046447744900000448e-02
2.758356288900000106e-02 2.758356288900000106e-02
4.356570817599999396e-02 4.356529072899999883e-02
1.333678522500000158e-02 1.333678522500000158e-02
5.183044156900000476e-02 5.182907560000000330e-02
4.727928384399999323e-02 4.727319577600000433e-02
4.563820416099999278e-02 4.562709602499999406e-02
5.165619840000000573e-02 5.161938560100000351e-02
2.960051430400000363e-02 2.960017020900000337e-02
2.907809352900000283e-02 2.907809352900000283e-02
3.350254336899999991e-02 3.350217729600000333e-02
1.961036136899999699e-02 1.961036136899999699e-02
5.496352024900000299e-02 5.496117584400000283e-02
4.591891836900000023e-02 4.591848979600000186e-02
4.225861376099999955e-02 4.225779148900000309e-02
5.090709187599999630e-02 5.067811392400000531e-02
3.503335758400000222e-02 3.503298324100000138e-02
4.758156942399999895e-02 4.676017008099999511e-02
3.227699696400000706e-02 3.227663764900000343e-02
3.445032966399999563e-02 3.445032966399999563e-02
3.492974102500000233e-02 3.492936723600000015e-02
4.484314464400000061e-02 4.482451152399999361e-02
4.163558630400000099e-02 4.121955667600000345e-02
5.759520010000000745e-02 5.741486899599999860e-02
5.606429484099999250e-02 5.572621209599999681e-02
5.467600124100000653e-02 5.460026688900000702e-02
4.344848424899999673e-02 4.344806736399999675e-02
5.171621774400000232e-02 5.153944252900000134e-02
5.342246368899999931e-02 5.338779936400000342e-02
5.568042508900000742e-02 5.551395699599999400e-02
5.852093192099999674e-02 5.850980454399999642e-02
5.449983630399999474e-02 5.447135888099999268e-02
5.593130400400000979e-02 5.580555782399999887e-02
5.343124710399999727e-02 5.313670419600000083e-02
5.146273731599999846e-02 5.138880948100000429e-02
5.404369572900000890e-02 5.403067802500000766e-02
3.009808614400000248e-02 2.974486608900000356e-02
3.027634800099999676e-02 3.023738432099999651e-02
