time,Ckappa_U0.08,C3-_U0.08,C3+_U0.08,Ckappa_U0.32,C3-_U0.32,C3+_U0.32,Ckappa_U1.28,C3-_U1.28,C3+_U1.28
4.899999999999998579e+00,9.973842745182475156e-01,9.804259632969054561e-01,9.921765467916613401e-01,9.640910806027567226e-01,7.186566287993589874e-01,8.848494500080000824e-01,8.638143649473088992e-01,4.242845214613985561e-02,3.478196775342504710e-01
4.999999999999998224e+00,9.973485282909563265e-01,9.798158314660052604e-01,9.920919603705963263e-01,9.636327132154771657e-01,7.109667302278108725e-01,8.837771635269856541e-01,8.636927028394156824e-01,4.785137582646007554e-02,3.517758459550223149e-01
5.099999999999997868e+00,9.973131482416393023e-01,9.792010405611946133e-01,9.920094286416378804e-01,9.631816975275616644e-01,7.032790579682267618e-01,8.827358769221389512e-01,8.635373530976802048e-01,5.273399488837966081e-02,3.554991593553251117e-01
5.199999999999998401e+00,9.972781012373802545e-01,9.785816398796255422e-01,9.919288712759972704e-01,9.627376487426081431e-01,6.955947000782179979e-01,8.817243835888224357e-01,8.633469402746989374e-01,5.703469966009444558e-02,3.589825402615132721e-01
5.299999999999997158e+00,9.972433570402157166e-01,9.779576611110847306e-01,9.918502042061573265e-01,9.623002134488716219e-01,6.879146370936900512e-01,8.807415516197381056e-01,8.631207891614350869e-01,6.072476195915419567e-02,3.622234004552848941e-01
5.399999999999996803e+00,9.972088897623612169e-01,9.773291295742825291e-01,9.917733401106250124e-01,9.618690764018542616e-01,6.802399289582787834e-01,8.797863144193658336e-01,8.628588453712966455e-01,6.378706005236169096e-02,3.652230439909422977e-01
5.499999999999995559e+00,9.971746792671547510e-01,9.766960742374527493e-01,9.916981897103107624e-01,9.614439660740936588e-01,6.725718577368368090e-01,8.788576652961875846e-01,8.625615519268143849e-01,6.621468580336381526e-02,3.679858305100103255e-01
5.599999999999996092e+00,9.971407123849007625e-01,9.760585353118114149e-01,9.916246638049405204e-01,9.610246582871532217e-01,6.649120103317885944e-01,8.779546562404418886e-01,8.622297020934805989e-01,6.800957616192551680e-02,3.705182165407328587e-01
5.699999999999995737e+00,9.971069838164112742e-01,9.754165686354615561e-01,9.915526758955636177e-01,9.606109774235852550e-01,6.572622949593047714e-01,8.770764006113361821e-01,8.618642913742713407e-01,6.918127846582350360e-02,3.728278057112895394e-01
5.799999999999995381e+00,9.970734966128378396e-01,9.747702465292834573e-01,9.914821451725694956e-01,9.602027949606101176e-01,6.496248944648869150e-01,8.762220790328996145e-01,8.614663901487754627e-01,6.974591466220182723e-02,3.749225296041543420e-01
5.899999999999995026e+00,9.970402621484929506e-01,9.741196552400641639e-01,9.914129996055351945e-01,9.598000253443494945e-01,6.420021674211494611e-01,8.753909474643334354e-01,8.610370535070276388e-01,6.972536238569329581e-02,3.768100525661882694e-01
5.999999999999994671e+00,9.970072995424035245e-01,9.734648894388412410e-01,9.913451788562807065e-01,9.594026195013548586e-01,6.343965134476369228e-01,8.745823461883447392e-01,8.605772774892550547e-01,6.914662889453725148e-02,3.784974522723479895e-01
6.099999999999994316e+00,9.969746345317472835e-01,9.728060444822201891e-01,9.912786367503000351e-01,9.590105565305870883e-01,6.268102218475780640e-01,8.737957083592009511e-01,8.600880025874165780e-01,6.804136322218116983e-02,3.799911810133578260e-01
6.199999999999993960e+00,9.969422978519875134e-01,9.721432072614767383e-01,9.912133430813605539e-01,9.586238343050723643e-01,6.192453224489414820e-01,8.730305667719965301e-01,8.595701574318771465e-01,6.644543596809604491e-02,3.812972686211736906e-01
6.299999999999993605e+00,9.969103232291446348e-01,9.714764464678538047e-01,9.911492845834610765e-01,9.582424598167247343e-01,6.117034548575143171e-01,8.722865576500684615e-01,8.590247293375448123e-01,6.439851553933040318e-02,3.824216936701625436e-01
6.399999999999993250e+00,9.968787451334680805e-01,9.708058030181520026e-01,9.910864649755899425e-01,9.578664401084426849e-01,6.041857678807054377e-01,8.715634204860772671e-01,8.584528447140894469e-01,6.194358244097934035e-02,3.833708299402561193e-01
6.499999999999992895e+00,9.968475964748898521e-01,9.701312812464357727e-01,9.910249040592256087e-01,9.574957745542357346e-01,5.966928555428253622e-01,8.708609932949010757e-01,8.578558416694299638e-01,5.912634554804568898e-02,3.841518721288434968e-01
6.599999999999993427e+00,9.968169064343233021e-01,9.694528413121331623e-01,9.909646359182988640e-01,9.571304490817338362e-01,5.892247307955650326e-01,8.701792030171767722e-01,8.572353193581072617e-01,5.599455120918455514e-02,3.847731575470212939e-01
6.699999999999992184e+00,9.967866986178915978e-01,9.687703931341381525e-01,9.909057063303043922e-01,9.567704327030148725e-01,5.817808335318976898e-01,8.695180512191915678e-01,8.565931531956872957e-01,5.259720235419171330e-02,3.852443255977383574e-01
6.799999999999991829e+00,9.967569896929783235e-01,9.680837920575671163e-01,9.908481695413881019e-01,9.564156764573211733e-01,5.743600664185555260e-01,8.688775956319011451e-01,8.559314710987268038e-01,4.898372595329305440e-02,3.855762890448989344e-01
6.899999999999990585e+00,9.967277886176640900e-01,9.673928364050846662e-01,9.907920845865060278e-01,9.560661146045280612e-01,5.669608506634735701e-01,8.682579284224009042e-01,8.552525923812324127e-01,4.520313997367653852e-02,3.857810245767052115e-01
6.999999999999991118e+00,9.966990965134849834e-01,9.666972670554345726e-01,9.907375113490898277e-01,9.557216676718434112e-01,5.595811941130668377e-01,8.676591523620071911e-01,8.545589368251640394e-01,4.130327390177953445e-02,3.858712194129915174e-01
7.099999999999990763e+00,9.966709071627329886e-01,9.659967692131566919e-01,9.906845065558436136e-01,9.553822467743029456e-01,5.522187657314184817e-01,8.670813562205222924e-01,8.538529158974083044e-01,3.733009029936332213e-02,3.858598313818405456e-01
7.199999999999990408e+00,9.966432080441758323e-01,9.652909765623783889e-01,9.906331198947964101e-01,9.550477585204834030e-01,5.448709730390414174e-01,8.665245907619522070e-01,8.531368205386845593e-01,3.332714072274886585e-02,3.857596294532871228e-01
7.299999999999990052e+00,9.966159817638360341e-01,9.645794780066851981e-01,9.905833904318426253e-01,9.547181097872586841e-01,5.375350418590093549e-01,8.659888466415732733e-01,8.524127201603721726e-01,2.933517079796901794e-02,3.855827796283216036e-01
7.399999999999989697e+00,9.965892076979382397e-01,9.638618271609382671e-01,9.905353434852053329e-01,9.543932117003809390e-01,5.302081001070344524e-01,8.654740353203429493e-01,8.516823855436556068e-01,2.539186995635865640e-02,3.853405286889266534e-01
7.499999999999989342e+00,9.965628636486524305e-01,9.631375546608568206e-01,9.904889880994982576e-01,9.540729822811901961e-01,5.228872688476625674e-01,8.649799738442699448e-01,8.509472446241039822e-01,2.153174475769462429e-02,3.850430184717023030e-01
7.599999999999988987e+00,9.965369273220257007e-01,9.624061831849570758e-01,9.904443152411901430e-01,9.537573473968539162e-01,5.155697640877986432e-01,8.645063740166449850e-01,8.502083752699926000e-01,1.778608353720995822e-02,3.846992398241026456e-01
7.699999999999988631e+00,9.965113774700684601e-01,9.616672448479388624e-01,9.904012968136247652e-01,9.534462398608729572e-01,5.082530116958088318e-01,8.640528361575797733e-01,8.494665338678915045e-01,1.418297578426952824e-02,3.843171123205487150e-01
