# long range t-V model of spinless fermions
# L = 18, t = 1.0, V = 0.4
# Heatmap of integrated spin conductivity I(omega)
# alpha, omega, I(omega)

1 0.71999999999999997 0.944068
1 0.72999999999999998 0.944934
1 0.73999999999999999 0.945801
1 0.75000000000000000 0.946677
1 0.76000000000000001 0.947576
1 0.77000000000000002 0.948479
1 0.78000000000000003 0.949395
1 0.79000000000000004 0.950342
1 0.80000000000000004 0.951282
1 0.81000000000000005 0.952226
1 0.81999999999999995 0.953176
1 0.82999999999999996 0.954125
1 0.83999999999999997 0.955063
1 0.84999999999999998 0.955986
1 0.85999999999999999 0.956914
1 0.87000000000000000 0.95783
1 0.88000000000000000 0.958731
1 0.89000000000000001 0.959628
1 0.90000000000000002 0.960494
1 0.91000000000000003 0.961336
1 0.92000000000000004 0.962162
1 0.93000000000000005 0.962957
1 0.93999999999999995 0.963742
1 0.94999999999999996 0.964489
1 0.95999999999999996 0.965228
1 0.96999999999999997 0.965945
1 0.97999999999999998 0.96665
1 0.98999999999999999 0.96733
1 1.0000000000000000 0.967999
1 1.1000000000000001 0.9738
1 1.2000000000000000 0.978395
1 1.3000000000000000 0.982125
1 1.3999999999999999 0.985611
1 1.5000000000000000 0.989508
1 1.6000000000000001 0.992797
1 1.7000000000000000 0.994976
1 1.8000000000000000 0.996448
1 1.8999999999999999 0.997497
1 2.0000000000000000 0.998118
1 2.1000000000000001 0.998438
1 2.2000000000000002 0.998667
1 2.2999999999999998 0.998874
1 2.3999999999999999 0.999177
1 2.5000000000000000 0.999466
1 2.6000000000000001 0.999618
1 2.7000000000000002 0.999722
1 2.7999999999999998 0.999796
1 2.8999999999999999 0.99985
1 3.0000000000000000 0.999887
1 3.1000000000000001 0.999913
1 3.2000000000000002 0.999932
1 3.2999999999999998 0.999946
1 3.3999999999999999 0.999956
1 3.5000000000000000 0.999964
1 3.6000000000000001 0.999971
1 3.7000000000000002 0.999976
1 3.7999999999999998 0.999979
1 3.8999999999999999 0.999981
1 4.0000000000000000 0.999983
1 4.0999999999999996 0.999985
1 4.2000000000000002 0.999988
1 4.2999999999999998 0.999991
1 4.4000000000000004 0.999993
1 4.5000000000000000 0.999994
1 4.5999999999999996 0.999995
1 4.7000000000000002 0.999996
1 4.7999999999999998 0.999996
1 4.9000000000000004 0.999997
1 5.0000000000000000 0.999998
1 5.0999999999999996 0.999998
1 5.2000000000000002 0.999999
1 5.2999999999999998 0.999999
1 5.4000000000000004 1
1 5.5000000000000000 1
1 5.5999999999999996 1
1 5.7000000000000002 1
1 5.7999999999999998 1
1 5.9000000000000004 1
1 6.0000000000000000 1
1 6.0999999999999996 1
1 6.2000000000000002 1
1 6.2999999999999998 1
1 6.4000000000000004 1
1 6.5000000000000000 1
1 6.5999999999999996 1
1 6.7000000000000002 1
1 6.7999999999999998 1
1 6.9000000000000004 1
1 7.0000000000000000 1
1 7.0999999999999996 1
1 7.2000000000000002 1
1 7.2999999999999998 1
1 7.4000000000000004 1
1 7.5000000000000000 1
1 7.5999999999999996 1
1 7.7000000000000002 1
1 7.7999999999999998 1
1 7.9000000000000004 1
1 8.0000000000000000 1
1 8.0999999999999996 1
1 8.1999999999999993 1
1 8.3000000000000007 1
1 8.4000000000000004 1
1 8.5000000000000000 1
1 8.5999999999999996 1
1 8.6999999999999993 1
1 8.8000000000000007 1
1 8.9000000000000004 1
1 9.0000000000000000 1
1 9.0999999999999996 1
1 9.1999999999999993 1
1 9.3000000000000007 1
1 9.4000000000000004 1
1 9.5000000000000000 1
1 9.5999999999999996 1
1 9.6999999999999993 1
1 9.8000000000000007 1
1 9.9000000000000004 1
1 10.000000000000000 1

1.1 0.0000000000000000 0.0733688
1.1 9.9999999999999995E-007 0.0733688
1.1 1.9999999999999999E-006 0.0733691
1.1 3.0000000000000001E-006 0.0733691
1.1 3.9999999999999998E-006 0.0733691
1.1 5.0000000000000004E-006 0.0733708
1.1 6.0000000000000002E-006 0.0733726
1.1 6.9999999999999999E-006 0.0733733
1.1 7.9999999999999996E-006 0.0733735
1.1 9.0000000000000002E-006 0.0733757
1.1 1.0000000000000001E-005 0.0733827
1.1 1.1000000000000000E-005 0.0733918
1.1 1.2000000000000000E-005 0.0733918
1.1 1.2999999999999999E-005 0.0733919
1.1 1.4000000000000000E-005 0.0734147
1.1 1.5000000000000000E-005 0.0734147
1.1 1.5999999999999999E-005 0.0734215
1.1 1.7000000000000000E-005 0.0734216
1.1 1.8000000000000000E-005 0.0734216
1.1 1.9000000000000001E-005 0.0734439
1.1 2.0000000000000002E-005 0.0734549
1.1 2.0999999999999999E-005 0.0734582
