# Fitting to data1.dat with error function
# r_S CDF(fit)
5.249117955300000027e-01 9.420096735705330016e-02
5.249228723900000171e-01 9.464126718277326988e-02
5.249412982800000238e-01 9.537704475914077218e-02
5.249437689200000534e-01 9.547602097057622528e-02
5.249444175999999906e-01 9.550202024004028623e-02
5.249513879399999583e-01 9.578172223704056742e-02
5.249524356600000496e-01 9.582381661706201870e-02
5.249529439700000299e-01 9.584424395459373303e-02
5.249558603299999682e-01 9.596150495523025903e-02
5.249564442199999847e-01 9.598499467459870038e-02
5.249578028600000446e-01 9.603966871942770656e-02
5.249739697999999954e-01 9.669201289926004916e-02
5.249822389599999584e-01 9.702693300120712738e-02
5.249848293600000160e-01 9.713202514935498355e-02
5.249850818900000382e-01 9.714227472161968135e-02
5.249933654899999746e-01 9.747892588003048697e-02
5.250075197300000385e-01 9.805614278869423384e-02
