# XXZ spin chain 
# MCLM for L=32, Delta=0.375
# High-T spin conductivity sigma(omega)
# omega/J sigma(omega) sigma(omega){rescaled} 

0.01048 0.16039 1.41039
0.01050 0.15949 1.40949
0.01052 0.15859 1.40859
0.01054 0.15771 1.40771
0.01056 0.15683 1.40683
0.01058 0.15596 1.40596
0.01060 0.15510 1.4051
0.01062 0.15425 1.40425
0.01064 0.15340 1.4034
0.01066 0.15256 1.40256
0.01068 0.15173 1.40173
0.01070 0.15090 1.4009
0.01072 0.15008 1.40008
0.01074 0.14925 1.39925
0.01076 0.14844 1.39844
0.01078 0.14764 1.39764
0.01080 0.14685 1.39685
0.01082 0.14608 1.39608
0.01084 0.14532 1.39532
0.01086 0.14457 1.39457
0.01088 0.14383 1.39383
0.01090 0.14309 1.39309
0.01092 0.14237 1.39237
0.01094 0.14167 1.39167
0.01096 0.14097 1.39097
0.01098 0.14029 1.39029
0.01100 0.13961 1.38961
0.01102 0.13895 1.38895
0.01104 0.13829 1.38829
0.01106 0.13764 1.38764
0.01108 0.13700 1.387
0.01110 0.13637 1.38637
0.01112 0.13576 1.38576
0.01114 0.13516 1.38516
0.01116 0.13456 1.38456
0.01118 0.13398 1.38398
0.01120 0.13341 1.38341
0.01122 0.13284 1.38284
0.01124 0.13229 1.38229
0.01126 0.13174 1.38174
0.01128 0.13121 1.38121
0.01130 0.13067 1.38067
0.01132 0.13015 1.38015
0.01134 0.12963 1.37963
0.01136 0.12912 1.37912
0.01138 0.12862 1.37862
0.01140 0.12813 1.37813
0.01142 0.12765 1.37765
0.01144 0.12718 1.37718
0.01146 0.12672 1.37672
0.01148 0.12626 1.37626
0.01150 0.12581 1.37581
0.01152 0.12537 1.37537
0.01154 0.12493 1.37493
0.01156 0.12450 1.3745
0.01158 0.12409 1.37409
0.01160 0.12368 1.37368
0.01162 0.12328 1.37328
0.01164 0.12288 1.37288
0.01166 0.12249 1.37249
0.01168 0.12211 1.37211
0.01170 0.12173 1.37173
0.01172 0.12135 1.37135
0.01174 0.12098 1.37098
0.01176 0.12062 1.37062
0.01178 0.12026 1.37026
0.01180 0.11991 1.36991
0.01182 0.11957 1.36957
0.01184 0.11924 1.36924
0.01186 0.11891 1.36891
0.01188 0.11860 1.3686
0.01190 0.11829 1.36829
0.01192 0.11798 1.36798
0.01194 0.11767 1.36767
0.01196 0.11737 1.36737
0.01198 0.11707 1.36707
0.01200 0.11678 1.36678
0.01202 0.11649 1.36649
0.01204 0.11620 1.3662
0.01206 0.11592 1.36592
0.01208 0.11564 1.36564
0.01210 0.11537 1.36537
0.01212 0.11511 1.36511
0.01214 0.11485 1.36485
0.01216 0.11459 1.36459
0.01218 0.11434 1.36434
0.01220 0.11409 1.36409
0.01222 0.11384 1.36384
0.01224 0.11360 1.3636
0.01226 0.11336 1.36336
0.01228 0.11312 1.36312
0.01230 0.11288 1.36288
0.01232 0.11265 1.36265
0.01234 0.11241 1.36241
0.01236 0.11218 1.36218
0.01238 0.11195 1.36195
0.01240 0.11172 1.36172
0.01242 0.11150 1.3615
0.01244 0.11128 1.36128
0.01246 0.11106 1.36106
0.01248 0.11085 1.36085
0.01250 0.11065 1.36065
0.01252 0.11044 1.36044
0.01254 0.11025 1.36025
0.01256 0.11005 1.36005
0.01258 0.10987 1.35987
0.01260 0.10968 1.35968
0.01262 0.10949 1.35949
0.01264 0.10930 1.3593
0.01266 0.10912 1.35912
0.01268 0.10895 1.35895
0.01270 0.10878 1.35878
0.01272 0.10862 1.35862
0.01274 0.10845 1.35845
0.01276 0.10829 1.35829
0.01278 0.10813 1.35813
0.01280 0.10797 1.35797
0.01282 0.10781 1.35781
0.01284 0.10766 1.35766
0.01286 0.10752 1.35752
0.01288 0.10737 1.35737
0.01290 0.10723 1.35723
0.01292 0.10709 1.35709
0.01294 0.10695 1.35695
0.01296 0.10682 1.35682
0.01298 0.10669 1.35669
0.01300 0.10655 1.35655
0.01302 0.10643 1.35643
0.01304 0.10630 1.3563
0.01306 0.10618 1.35618
0.01308 0.10606 1.35606
0.01310 0.10595 1.35595
0.01312 0.10584 1.35584
0.01314 0.10574 1.35574
0.01316 0.10564 1.35564
0.01318 0.10555 1.35555
0.01320 0.10547 1.35547
0.01322 0.10539 1.35539
0.01324 0.10532 1.35532
0.01326 0.10525 1.35525
0.01328 0.10519 1.35519
0.01330 0.10513 1.35513
0.01332 0.10507 1.35507
0.01334 0.10502 1.35502
0.01336 0.10498 1.35498
0.01338 0.10495 1.35495
0.01340 0.10492 1.35492
0.01342 0.10490 1.3549
0.01344 0.10488 1.35488
0.01346 0.10487 1.35487
0.01348 0.10486 1.35486
0.01350 0.10486 1.35486
0.01352 0.10486 1.35486
0.01354 0.10487 1.35487
0.01356 0.10489 1.35489
0.01358 0.10492 1.35492
0.01360 0.10495 1.35495
0.01362 0.10500 1.355
0.01364 0.10506 1.35506
0.01366 0.10512 1.35512
0.01368 0.10520 1.3552
0.01370 0.10529 1.35529
0.01372 0.10539 1.35539
0.01374 0.10550 1.3555
0.01376 0.10561 1.35561
0.01378 0.10574 1.35574
0.01380 0.10586 1.35586
0.01382 0.10600 1.356
0.01384 0.10614 1.35614
0.01386 0.10629 1.35629
0.01388 0.10645 1.35645
0.01390 0.10661 1.35661
0.01392 0.10679 1.35679
0.01394 0.10697 1.35697
0.01396 0.10716 1.35716
0.01398 0.10737 1.35737
0.01400 0.10758 1.35758
0.01402 0.10780 1.3578
0.01404 0.10803 1.35803
0.01406 0.10827 1.35827
0.01408 0.10852 1.35852
0.01410 0.10878 1.35878
0.01412 0.10905 1.35905
0.01414 0.10933 1.35933
0.01416 0.10963 1.35963
0.01418 0.10993 1.35993
0.01420 0.11025 1.36025
0.01422 0.11059 1.36059
0.01424 0.11093 1.36093
0.01426 0.11128 1.36128
0.01428 0.11163 1.36163
0.01430 0.11200 1.362
0.01432 0.11237 1.36237
0.01434 0.11276 1.36276
0.01436 0.11317 1.36317
0.01438 0.11358 1.36358
0.01440 0.11401 1.36401
0.01442 0.11445 1.36445
0.01444 0.11490 1.3649
0.01446 0.11537 1.36537
0.01448 0.11584 1.36584
0.01450 0.11633 1.36633
0.01452 0.11682 1.36682
0.01454 0.11732 1.36732
0.01456 0.11783 1.36783
0.01458 0.11835 1.36835
0.01460 0.11888 1.36888
0.01462 0.11941 1.36941
0.01464 0.11995 1.36995
0.01466 0.12051 1.37051
0.01468 0.12108 1.37108
0.01470 0.12167 1.37167
0.01472 0.12226 1.37226
0.01474 0.12287 1.37287
0.01476 0.12347 1.37347
0.01478 0.12408 1.37408
0.01480 0.12469 1.37469
0.01482 0.12530 1.3753
0.01484 0.12591 1.37591
0.01486 0.12654 1.37654
0.01488 0.12718 1.37718
0.01490 0.12783 1.37783
0.01492 0.12848 1.37848
0.01494 0.12915 1.37915
0.01496 0.12982 1.37982
0.01498 0.13049 1.38049
0.01500 0.13118 1.38118
0.01502 0.13186 1.38186
0.01504 0.13255 1.38255
0.01506 0.13323 1.38323
0.01508 0.13391 1.38391
0.01510 0.13459 1.38459
0.01512 0.13528 1.38528
0.01514 0.13596 1.38596
0.01516 0.13664 1.38664
0.01518 0.13732 1.38732
0.01520 0.13800 1.388
0.01522 0.13868 1.38868
0.01524 0.13937 1.38937
0.01526 0.14005 1.39005
0.01528 0.14073 1.39073
0.01530 0.14141 1.39141
0.01532 0.14209 1.39209
0.01534 0.14277 1.39277
0.01536 0.14345 1.39345
0.01538 0.14413 1.39413
0.01540 0.14480 1.3948
0.01542 0.14547 1.39547
0.01544 0.14614 1.39614
0.01546 0.14680 1.3968
0.01548 0.14746 1.39746
0.01550 0.14810 1.3981
0.01552 0.14874 1.39874
0.01554 0.14937 1.39937
0.01556 0.15000 1.4
0.01558 0.15061 1.40061
0.01560 0.15121 1.40121
0.01562 0.15181 1.40181
0.01564 0.15240 1.4024
0.01566 0.15297 1.40297
