# Generalized Rosenzweig-Porter model RPSF
# size=3500x3500, gamma=2.25
# CDF of level statistics r_S
# r_S CDF
3.827400000000000246e-01 2.855999999999999858e-02
3.827499999999999791e-01 2.867000000000000104e-02
3.827800000000000091e-01 2.878000000000000003e-02
3.827800000000000091e-01 2.888999999999999901e-02
3.827999999999999736e-01 2.900000000000000147e-02
3.827999999999999736e-01 2.911000000000000046e-02
3.828199999999999936e-01 2.922999999999999904e-02
3.828199999999999936e-01 2.934000000000000150e-02
3.828500000000000236e-01 2.945000000000000048e-02
3.828599999999999781e-01 2.955999999999999947e-02
3.828699999999999881e-01 2.966999999999999846e-02
3.828799999999999981e-01 2.978000000000000091e-02
3.828799999999999981e-01 2.988999999999999990e-02
3.828799999999999981e-01 2.999999999999999889e-02
3.829000000000000181e-01 3.011000000000000135e-02
3.829000000000000181e-01 3.022999999999999993e-02
3.829199999999999826e-01 3.033999999999999891e-02
3.829400000000000026e-01 3.045000000000000137e-02
3.829400000000000026e-01 3.056000000000000036e-02
3.829500000000000126e-01 3.066999999999999935e-02
3.829699999999999771e-01 3.077999999999999833e-02
3.830100000000000171e-01 3.089000000000000079e-02
3.830100000000000171e-01 3.099999999999999978e-02
3.830399999999999916e-01 3.110999999999999877e-02
3.830500000000000016e-01 3.123000000000000081e-02
3.830500000000000016e-01 3.133999999999999980e-02
3.830500000000000016e-01 3.144999999999999879e-02
3.830600000000000116e-01 3.155999999999999778e-02
3.830700000000000216e-01 3.166999999999999676e-02
3.830700000000000216e-01 3.178000000000000269e-02
3.830799999999999761e-01 3.189000000000000168e-02
3.831200000000000161e-01 3.200000000000000067e-02
3.831300000000000261e-01 3.210999999999999965e-02
3.831399999999999806e-01 3.223000000000000170e-02
3.831399999999999806e-01 3.234000000000000069e-02
3.831499999999999906e-01 3.244999999999999968e-02
3.831700000000000106e-01 3.255999999999999867e-02
3.831800000000000206e-01 3.266999999999999765e-02
3.831899999999999751e-01 3.277999999999999664e-02
3.831899999999999751e-01 3.289000000000000257e-02
3.832099999999999951e-01 3.300000000000000155e-02
3.832099999999999951e-01 3.311000000000000054e-02
3.832099999999999951e-01 3.323000000000000259e-02
3.832200000000000051e-01 3.334000000000000158e-02
3.832499999999999796e-01 3.345000000000000057e-02
3.832699999999999996e-01 3.355999999999999955e-02
3.833099999999999841e-01 3.366999999999999854e-02
3.833099999999999841e-01 3.377999999999999753e-02
3.833199999999999941e-01 3.389000000000000346e-02
3.833300000000000041e-01 3.400000000000000244e-02
