# Long-range Heisenberg model
# L = 18, J = 1.0, Delta = 0.50, Alpha = 2.5
# Integrated spin conductivity I(omega)
# omega, I(omega)

1.00000000000000002E-002 0.848165
1.09999999999999994E-002 0.855975
1.20000000000000002E-002 0.863343
1.29999999999999994E-002 0.869454
1.40000000000000003E-002 0.875073
1.49999999999999994E-002 0.880319
1.60000000000000003E-002 0.884769
1.70000000000000012E-002 0.888884
1.79999999999999986E-002 0.892797
1.89999999999999995E-002 0.896122
2.00000000000000004E-002 0.899446
2.10000000000000013E-002 0.90241
2.19999999999999987E-002 0.905046
2.29999999999999996E-002 0.907636
2.40000000000000005E-002 0.90994
2.50000000000000014E-002 0.912332
2.59999999999999988E-002 0.914476
2.69999999999999997E-002 0.916609
2.80000000000000006E-002 0.918646
2.90000000000000015E-002 0.92044
2.99999999999999989E-002 0.922218
3.09999999999999998E-002 0.923968
3.20000000000000007E-002 0.92559
3.30000000000000016E-002 0.927191
3.40000000000000024E-002 0.928833
3.50000000000000033E-002 0.930192
3.59999999999999973E-002 0.93153
3.69999999999999982E-002 0.932776
3.79999999999999991E-002 0.934021
3.89999999999999999E-002 0.935085
4.00000000000000008E-002 0.936025
4.10000000000000017E-002 0.936905
4.20000000000000026E-002 0.937862
4.29999999999999966E-002 0.938821
4.39999999999999974E-002 0.939729
4.49999999999999983E-002 0.940441
4.59999999999999992E-002 0.941129
4.70000000000000001E-002 0.941818
4.80000000000000010E-002 0.942512
4.90000000000000019E-002 0.943122
5.00000000000000028E-002 0.943729
5.09999999999999967E-002 0.944284
5.19999999999999976E-002 0.944887
5.29999999999999985E-002 0.94544
5.39999999999999994E-002 0.945983
5.50000000000000003E-002 0.946555
5.60000000000000012E-002 0.947096
5.70000000000000021E-002 0.947626
5.80000000000000029E-002 0.948124
5.89999999999999969E-002 0.948589
5.99999999999999978E-002 0.949038
6.09999999999999987E-002 0.949511
6.19999999999999996E-002 0.949979
6.30000000000000004E-002 0.950457
6.40000000000000013E-002 0.95086
6.50000000000000022E-002 0.951224
6.60000000000000031E-002 0.951579
6.70000000000000040E-002 0.951916
6.80000000000000049E-002 0.952256
6.90000000000000058E-002 0.952598
7.00000000000000067E-002 0.952927
7.09999999999999937E-002 0.95323
7.19999999999999946E-002 0.953511
7.29999999999999954E-002 0.953791
7.39999999999999963E-002 0.954061
7.49999999999999972E-002 0.954317
7.59999999999999981E-002 0.954557
7.69999999999999990E-002 0.954783
7.79999999999999999E-002 0.955033
7.90000000000000008E-002 0.95525
8.00000000000000017E-002 0.955449
8.10000000000000026E-002 0.955655
8.20000000000000034E-002 0.955862
8.30000000000000043E-002 0.956066
8.40000000000000052E-002 0.956277
8.50000000000000061E-002 0.956488
8.59999999999999931E-002 0.956681
8.69999999999999940E-002 0.956883
8.79999999999999949E-002 0.957048
8.89999999999999958E-002 0.957242
8.99999999999999967E-002 0.957416
9.09999999999999976E-002 0.957612
9.19999999999999984E-002 0.957765
9.29999999999999993E-002 0.957928
9.40000000000000002E-002 0.958099
9.50000000000000011E-002 0.958239
9.60000000000000020E-002 0.958399
9.70000000000000029E-002 0.958544
9.80000000000000038E-002 0.958685
9.90000000000000047E-002 0.958832
0.10000000000000001 0.958991
0.11000000000000000 0.960262
0.12000000000000000 0.961432
0.13000000000000000 0.96239
0.14000000000000001 0.963176
0.14999999999999999 0.963893
0.16000000000000000 0.964519
0.17000000000000001 0.96508
0.17999999999999999 0.965641
0.19000000000000000 0.966167
0.20000000000000001 0.966685
0.20999999999999999 0.967208
0.22000000000000000 0.967737
0.23000000000000001 0.968223
0.23999999999999999 0.968695
0.25000000000000000 0.969114
0.26000000000000001 0.969531
0.27000000000000002 0.969953
0.28000000000000003 0.970409
0.28999999999999998 0.970865
0.29999999999999999 0.971317
0.31000000000000000 0.971775
0.32000000000000001 0.972206
0.33000000000000002 0.972642
0.34000000000000002 0.973067
0.34999999999999998 0.973484
0.35999999999999999 0.973934
0.37000000000000000 0.974393
0.38000000000000000 0.974801
0.39000000000000001 0.97521
0.40000000000000002 0.975655
0.40999999999999998 0.976093
0.41999999999999998 0.976533
0.42999999999999999 0.97699
0.44000000000000000 0.97743
0.45000000000000001 0.977864
0.46000000000000002 0.978293
0.46999999999999997 0.978733
0.47999999999999998 0.979163
0.48999999999999999 0.979583
0.50000000000000000 0.980021
0.51000000000000001 0.980433
0.52000000000000002 0.980821
0.53000000000000003 0.981211
0.54000000000000004 0.981619
0.55000000000000004 0.982013
0.56000000000000005 0.982397
0.56999999999999995 0.982789
0.57999999999999996 0.983162
0.58999999999999997 0.983525
0.59999999999999998 0.983902
0.60999999999999999 0.984247
0.62000000000000000 0.984577
0.63000000000000000 0.984921
0.64000000000000001 0.985249
0.65000000000000002 0.985581
0.66000000000000003 0.9859
0.67000000000000004 0.986219
0.68000000000000005 0.986537
0.68999999999999995 0.986828
0.69999999999999996 0.987129
0.70999999999999996 0.987406
0.71999999999999997 0.987657
0.72999999999999998 0.987913
0.73999999999999999 0.988174
0.75000000000000000 0.988438
0.76000000000000001 0.988683
0.77000000000000002 0.98892
0.78000000000000003 0.989152
0.79000000000000004 0.989373
0.80000000000000004 0.989573
0.81000000000000005 0.989777
0.81999999999999995 0.989973
0.82999999999999996 0.990158
0.83999999999999997 0.990347
0.84999999999999998 0.990529
0.85999999999999999 0.990724
0.87000000000000000 0.990912
0.88000000000000000 0.991094
0.89000000000000001 0.991278
0.90000000000000002 0.991451
0.91000000000000003 0.991616
0.92000000000000004 0.991778
0.93000000000000005 0.991939
0.93999999999999995 0.992111
0.94999999999999996 0.99227
0.95999999999999996 0.992437
0.96999999999999997 0.992597
0.97999999999999998 0.992755
0.98999999999999999 0.992912
1.0000000000000000 0.993061
1.1000000000000001 0.994422
1.2000000000000000 0.995572
1.3000000000000000 0.996506
1.3999999999999999 0.997259
1.5000000000000000 0.997838
1.6000000000000001 0.998268
1.7000000000000000 0.998617
1.8000000000000000 0.998911
1.8999999999999999 0.999158
2.0000000000000000 0.999358
2.1000000000000001 0.999513
2.2000000000000002 0.999632
2.2999999999999998 0.999717
2.3999999999999999 0.999784
2.5000000000000000 0.999839
2.6000000000000001 0.999883
2.7000000000000002 0.999918
2.7999999999999998 0.999942
2.8999999999999999 0.999958
3.0000000000000000 0.99997
3.1000000000000001 0.99998
3.2000000000000002 0.999987
3.2999999999999998 0.999992
3.3999999999999999 0.999995
3.5000000000000000 0.999997
3.6000000000000001 0.999998
3.7000000000000002 0.999999
3.7999999999999998 0.999999
3.8999999999999999 1
4.0000000000000000 1
4.0999999999999996 1
4.2000000000000002 1
4.2999999999999998 1
4.4000000000000004 1
4.5000000000000000 1
4.5999999999999996 1
4.7000000000000002 1
4.7999999999999998 1
4.9000000000000004 1
5.0000000000000000 1
5.0999999999999996 1
5.2000000000000002 1
5.2999999999999998 1
5.4000000000000004 1
5.5000000000000000 1
5.5999999999999996 1
5.7000000000000002 1
5.7999999999999998 1
5.9000000000000004 1
6.0000000000000000 1
6.0999999999999996 1
6.2000000000000002 1
6.2999999999999998 1
6.4000000000000004 1
6.5000000000000000 1
6.5999999999999996 1
6.7000000000000002 1
6.7999999999999998 1
6.9000000000000004 1
7.0000000000000000 1
7.0999999999999996 1
7.2000000000000002 1
7.2999999999999998 1
7.4000000000000004 1
7.5000000000000000 1
7.5999999999999996 1
7.7000000000000002 1
7.7999999999999998 1
7.9000000000000004 1
8.0000000000000000 1
8.0999999999999996 1
8.1999999999999993 1
8.3000000000000007 1
8.4000000000000004 1
8.5000000000000000 1
8.5999999999999996 1
8.6999999999999993 1
8.8000000000000007 1
8.9000000000000004 1
9.0000000000000000 1
9.0999999999999996 1
9.1999999999999993 1
9.3000000000000007 1
9.4000000000000004 1
9.5000000000000000 1
9.5999999999999996 1
9.6999999999999993 1
9.8000000000000007 1
9.9000000000000004 1
10.000000000000000 1
