# XXZ model at half-filling
# L=28, J=1, Delta=0.40
# Integrated conductivity, I_s(omega) via MCLM
# omega/Delta I_s(omega)

0.81125 0.103743
0.8125 0.103787
0.81375 0.103832
0.815 0.103874
0.81625 0.103918
0.8175 0.103961
0.81875 0.104003
0.82 0.104044
0.82125 0.1041
0.8225 0.104144
0.82375 0.104188
0.825 0.104237
0.82625 0.104282
0.8275 0.104328
0.82875 0.104367
0.83 0.104407
0.83125 0.10445
0.8325 0.104496
0.83375 0.104544
0.835 0.104601
0.83625 0.104643
0.8375 0.104744
0.83875 0.104787
0.84 0.104833
0.84125 0.104881
0.8425 0.104924
0.84375 0.104965
0.845 0.105005
0.84625 0.105054
0.8475 0.1051
0.84875 0.10514
0.85 0.105182
0.85125 0.10523
0.8525 0.105277
0.85375 0.105319
0.855 0.105362
0.85625 0.105404
0.8575 0.105447
0.85875 0.105491
0.86 0.105539
0.86125 0.105585
0.8625 0.105628
0.86375 0.105666
0.865 0.105704
0.86625 0.105742
0.8675 0.105777
0.86875 0.105816
0.87 0.105867
0.87125 0.105906
0.8725 0.105945
0.87375 0.105988
0.875 0.106029
0.87625 0.106077
0.8775 0.106113
0.87875 0.106152
0.88 0.106185
0.88125 0.106221
0.8825 0.106272
0.88375 0.106314
0.885 0.10635
0.88625 0.106389
0.8875 0.10643
0.88875 0.106466
0.89 0.106507
0.89125 0.106544
0.8925 0.106581
0.89375 0.106623
0.895 0.106667
0.89625 0.106705
0.8975 0.106741
0.89875 0.106777
0.9 0.106816
0.90125 0.106854
0.9025 0.106892
0.90375 0.106932
0.905 0.106971
0.90625 0.107007
0.9075 0.107045
0.90875 0.107085
0.91 0.107119
0.91125 0.107159
0.9125 0.107197
0.91375 0.107234
0.915 0.107266
0.91625 0.107301
0.9175 0.107343
0.91875 0.107386
0.92 0.107422
0.92125 0.107453
0.9225 0.107489
0.92375 0.107524
0.925 0.10756
0.92625 0.107597
0.9275 0.10763
0.92875 0.107662
0.93 0.107692
0.93125 0.107721
0.9325 0.107763
0.93375 0.107796
0.935 0.107831
0.93625 0.107863
0.9375 0.107898
0.93875 0.107934
0.94 0.107973
0.94125 0.108005
0.9425 0.10804
0.94375 0.108071
0.945 0.108114
0.94625 0.10815
0.9475 0.10818
0.94875 0.108211
0.95 0.108244
0.95125 0.108275
0.9525 0.108305
0.95375 0.108335
0.955 0.108369
0.95625 0.108401
0.9575 0.108438
0.95875 0.108474
0.96 0.108519
0.96125 0.108549
0.9625 0.108584
0.96375 0.108616
0.965 0.108646
0.96625 0.108677
0.9675 0.108712
0.96875 0.108749
0.97 0.108778
0.97125 0.108809
0.9725 0.10884
0.97375 0.108869
0.975 0.108901
0.97625 0.108929
0.9775 0.108957
0.97875 0.108985
0.98 0.109015
0.98125 0.109043
0.9825 0.109075
0.98375 0.109101
0.985 0.109129
0.98625 0.109157
0.9875 0.109189
0.98875 0.109222
0.99 0.109249
0.99125 0.109273
0.9925 0.109303
0.99375 0.109331
0.995 0.109357
0.99625 0.109384
0.9975 0.109414
0.99875 0.109438
1 0.109465
1.00125 0.109492
1.0025 0.109518
1.00375 0.109544
1.005 0.109575
1.00625 0.109605
1.0075 0.109635
1.00875 0.109661
1.01 0.109697
1.01125 0.109728
1.0125 0.109755
1.01375 0.109788
1.015 0.109813
1.01625 0.109852
1.0175 0.109883
1.01875 0.109909
1.02 0.109939
1.02125 0.109965
1.0225 0.109991
1.02375 0.110018
1.025 0.110042
1.02625 0.110065
1.0275 0.110091
1.02875 0.110118
1.03 0.110143
1.03125 0.110173
1.0325 0.1102
1.03375 0.110225
1.035 0.11025
1.03625 0.110274
1.0375 0.1103
1.03875 0.110324
1.04 0.110348
1.04125 0.110373
1.0425 0.110402
1.04375 0.110429
1.045 0.110454
1.04625 0.110479
1.0475 0.110503
1.04875 0.110526
1.05 0.110547
1.05125 0.110576
1.0525 0.110599
1.05375 0.110622
1.055 0.110642
1.05625 0.110664
1.0575 0.110687
1.05875 0.110709
1.06 0.110733
1.06125 0.110759
1.0625 0.11078
1.06375 0.110815
1.065 0.110836
1.06625 0.110857
1.0675 0.11088
1.06875 0.110904
1.07 0.110928
1.07125 0.11095
1.0725 0.110972
1.07375 0.110996
1.075 0.11102
1.07625 0.111044
1.0775 0.111067
1.07875 0.111092
1.08 0.111113
1.08125 0.111138
1.0825 0.111181
1.08375 0.111202
1.085 0.111226
1.08625 0.111251
1.0875 0.11127
1.08875 0.111292
1.09 0.111313
1.09125 0.111337
1.0925 0.111359
1.09375 0.111382
1.095 0.111405
1.09625 0.111425
1.0975 0.111446
1.09875 0.111468
1.1 0.111493
1.10125 0.111515
1.1025 0.111538
1.10375 0.111557
1.105 0.111578
1.10625 0.111601
1.1075 0.111619
1.10875 0.11164
1.11 0.111662
1.11125 0.111683
1.1125 0.111702
1.11375 0.111722
1.115 0.111752
1.11625 0.111772
1.1175 0.111789
1.11875 0.111808
1.12 0.111828
1.12125 0.111851
1.1225 0.11187
1.12375 0.111889
1.125 0.11191
1.12625 0.11193
1.1275 0.111951
1.12875 0.111973
1.13 0.111992
1.13125 0.11201
1.1325 0.112029
1.13375 0.112051
1.135 0.11207
1.13625 0.112089
1.1375 0.112109
1.13875 0.112128
1.14 0.112147
1.14125 0.112167
1.1425 0.112186
1.14375 0.112205
1.145 0.112226
1.14625 0.112246
1.1475 0.112262
1.14875 0.112282
1.15 0.112304
1.15125 0.11232
1.1525 0.112338
1.15375 0.112357
1.155 0.112379
1.15625 0.112398
1.1575 0.112415
1.15875 0.112432
1.16 0.112452
1.16125 0.112473
1.1625 0.112494
1.16375 0.112512
1.165 0.112534
1.16625 0.112556
1.1675 0.112573
1.16875 0.112592
1.17 0.112612
1.17125 0.11263
1.1725 0.112649
1.17375 0.112667
1.175 0.112686
1.17625 0.112703
1.1775 0.112719
1.17875 0.112738
1.18 0.112756
1.18125 0.112776
1.1825 0.112792
1.18375 0.11281
1.185 0.112828
1.18625 0.11285
1.1875 0.112867
1.18875 0.112887
1.19 0.112905
1.19125 0.112922
1.1925 0.112939
1.19375 0.112955
1.195 0.112973
1.19625 0.112991
1.1975 0.113008
1.19875 0.113026
1.2 0.113043
1.20125 0.113061
1.2025 0.113079
1.20375 0.113095
1.205 0.113114
1.20625 0.113132
1.2075 0.113149
1.20875 0.113165
1.21 0.113183
1.21125 0.113199
1.2125 0.113218
1.21375 0.113237
1.215 0.113254
1.21625 0.11327
1.2175 0.113284
1.21875 0.1133
1.22 0.113314
1.22125 0.113329
1.2225 0.113345
1.22375 0.113361
1.225 0.113379
1.22625 0.113396
1.2275 0.113412
1.22875 0.113428
1.23 0.113444
1.23125 0.113461
1.2325 0.113476
1.23375 0.113497
1.235 0.113514
1.23625 0.113531
1.2375 0.113546
1.23875 0.113561
1.24 0.113578
1.24125 0.113593
1.2425 0.113613
1.24375 0.113629
1.245 0.113644
1.24625 0.113661
1.2475 0.113677
1.24875 0.113691
1.25 0.113706
1.25125 0.11372
1.2525 0.113737
1.25375 0.113753
1.255 0.11377
1.25625 0.113785
1.2575 0.113801
1.25875 0.11382
1.26 0.113835
1.26125 0.113851
1.2625 0.113867
1.26375 0.113882
1.265 0.113898
1.26625 0.113913
1.2675 0.113926
1.26875 0.113941
1.27 0.113957
1.27125 0.113971
1.2725 0.113987
1.27375 0.114001
1.275 0.114016
1.27625 0.114031
1.2775 0.114047
1.27875 0.114064
1.28 0.114078
1.28125 0.114094
1.2825 0.114107
1.28375 0.114123
1.285 0.114137
1.28625 0.114154
1.2875 0.114168
1.28875 0.114182
1.29 0.114197
1.29125 0.11421
1.2925 0.114225
1.29375 0.114239
1.295 0.114253
1.29625 0.114267
1.2975 0.114281
1.29875 0.114295
1.3 0.114309
1.30125 0.114325
1.3025 0.114338
1.30375 0.114355
1.305 0.11437
1.30625 0.114384
1.3075 0.114399
1.30875 0.114414
1.31 0.114429
1.31125 0.114445
1.3125 0.11446
1.31375 0.114476
1.315 0.11449
1.31625 0.114505
1.3175 0.114519
1.31875 0.114533
1.32 0.114547
1.32125 0.11456
1.3225 0.114574
1.32375 0.114586
1.325 0.1146
1.32625 0.114615
