# Fitting to data1.dat with error function
# r_S CDF(fit)
3.792501820099999921e-01 4.619932744831722893e-02
3.792580840499999995e-01 4.637147931262630696e-02
3.792619497099999903e-01 4.645588300451441999e-02
3.792834064999999755e-01 4.692661967527039790e-02
3.792836117000000229e-01 4.693113991973485444e-02
3.792850888000000031e-01 4.696368849478665952e-02
3.792930139899999831e-01 4.713863292799408411e-02
3.792968691899999967e-01 4.722392313585488388e-02
3.793057886999999795e-01 4.742172737038502506e-02
3.793187927000000181e-01 4.771130048325777917e-02
3.793586945299999846e-01 4.860868136048146493e-02
3.793726917799999931e-01 4.892665407099422437e-02
3.794106807300000050e-01 4.979802237134633991e-02
3.794136275900000244e-01 4.986612986072758158e-02
3.794672395700000034e-01 5.111822264986581876e-02
3.794772454500000003e-01 5.135465428415014744e-02
3.794950831700000249e-01 5.177830340415889854e-02
3.794993498199999982e-01 5.188004768497739283e-02
3.795121573899999934e-01 5.218641672596613379e-02
3.795343265300000213e-01 5.272011779551244448e-02
3.795504327399999989e-01 5.311056871362623832e-02
3.795608600800000065e-01 5.336457131154681566e-02
3.795716870699999967e-01 5.362932691437866106e-02
3.795918421400000242e-01 5.412495523075827597e-02
3.795932406599999975e-01 5.415947994137071397e-02
3.796025326499999908e-01 5.438931040101407932e-02
3.796100911899999986e-01 5.457683373663746451e-02
3.796437137199999978e-01 5.541719356620133929e-02
3.796462615699999765e-01 5.548128856621614702e-02
3.796689128799999868e-01 5.605369253254938178e-02
3.796839023299999893e-01 5.643503335634642015e-02
3.796870686600000155e-01 5.651584771290996123e-02
3.796952355300000082e-01 5.672471200661594048e-02
3.797011969499999862e-01 5.687755638437108630e-02
3.797096718499999857e-01 5.709540172374283351e-02
3.797125717800000078e-01 5.717009439391246284e-02
3.797297450600000124e-01 5.761399914225440178e-02
3.797346428100000226e-01 5.774109451871128895e-02
3.797374760500000224e-01 5.781471696770762447e-02
3.797623865099999940e-01 5.846520246637532114e-02
3.797697282499999938e-01 5.865800946832788743e-02
3.797938844900000110e-01 5.929591929253902327e-02
3.797980678899999796e-01 5.940694363490933716e-02
3.798050041400000132e-01 5.959138560840893106e-02
3.798191063799999934e-01 5.996776203865850086e-02
3.798207101700000199e-01 6.001068342783205667e-02
3.798223107099999996e-01 6.005354181931588098e-02
3.798300330800000180e-01 6.026066413401209854e-02
3.798310918500000244e-01 6.028910502508477709e-02
3.798366653399999904e-01 6.043899448491280024e-02
3.798382301800000138e-01 6.048113056038650903e-02
3.798521636100000154e-01 6.085732689494555148e-02
3.798739542799999813e-01 6.144933035635918861e-02
3.798780237600000165e-01 6.156038578701128472e-02
3.798916372000000208e-01 6.193303375061665061e-02
3.798971146299999768e-01 6.208346610213916206e-02
3.798971384300000032e-01 6.208412036776284060e-02
3.799011985599999863e-01 6.219581271733515271e-02
3.799115688399999913e-01 6.248180593171026587e-02
3.799199922400000040e-01 6.271486156924699351e-02
3.799259864499999750e-01 6.288111941928153925e-02
3.799437087800000001e-01 6.337468204386831339e-02
3.799582134000000222e-01 6.378087192308390385e-02
3.799622108899999851e-01 6.389317354408430294e-02
3.799730042700000254e-01 6.419716052113522142e-02
3.799794647099999922e-01 6.437965079238805455e-02
3.799831992400000136e-01 6.448532505292470240e-02
3.799847945400000038e-01 6.453050757310968555e-02
3.799857076100000008e-01 6.455637885359388761e-02
3.800003527899999956e-01 6.497244297918619571e-02
3.800090950800000256e-01 6.522179850267378898e-02
3.800163005100000158e-01 6.542787597277527345e-02
3.800187276299999972e-01 6.549740592975250575e-02
3.800187742400000235e-01 6.549874173178665826e-02
3.800307244700000253e-01 6.584192255772441937e-02
3.800355357799999889e-01 6.598048423944508079e-02
3.800457395199999810e-01 6.627509097739792132e-02
3.800503172399999907e-01 6.640759145386682105e-02
3.800532500500000133e-01 6.649258833180649031e-02
3.800703378599999960e-01 6.698949249700558717e-02
3.800818792799999790e-01 6.732673248812348632e-02
3.801058057200000229e-01 6.803004133952728072e-02
3.801071426700000089e-01 6.806950719278348494e-02
3.801101618100000135e-01 6.815869517253014820e-02
3.801465175500000071e-01 6.923977004574416450e-02
3.801579357100000056e-01 6.958201270247688086e-02
3.801579834800000168e-01 6.958344726947868208e-02
3.801698166499999920e-01 6.993950774960910888e-02
3.801713611399999970e-01 6.998608475575757160e-02
3.801718010299999784e-01 6.999935483328079133e-02
3.801757968600000259e-01 7.011998495023163969e-02
3.801778435900000086e-01 7.018183558487828266e-02
3.801867075600000034e-01 7.045018254391133272e-02
3.801892965499999999e-01 7.052871003297456198e-02
3.801912654599999830e-01 7.058847470386137024e-02
3.802132355599999736e-01 7.125800241122814960e-02
3.802144885600000079e-01 7.129633340414637255e-02
