Superlattice								SYK2								Anderson				AA			
W=1.0				W=7.5				gamma=0.2				gamma=0.5				W=30				Alpha=1.5			
Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda
-3.99077	-1.66744	-6.14457	-2.96317	-4.05166	-0.48062	-6.15157	-1.14932	-1.14387	-3.70882	-1.52664	-4.08137	-1.01953	-1.32351	-1.36593	-1.74274	-10.9704	-0.70738	-13.69364	-0.42445	-1.9309	-2.39663	-1.99986	-2.79087
-3.98115	-1.8811	-6.14176	-2.93148	-4.02877	-0.52194	-6.1496	-1.15822	-1.14277	-3.70007	-1.52614	-4.06786	-1.01554	-1.42208	-1.36529	-1.76604	-10.96754	-1.17469	-13.69299	-2.07715	-1.92926	-2.39999	-1.99985	-2.79087
-3.94572	-1.77585	-6.13791	-2.95857	-4.01716	-0.55063	-6.14456	-1.16601	-1.14049	-3.60006	-1.52603	-4.05806	-1.014	-1.46296	-1.36511	-1.72046	-10.95225	-0.75903	-13.69088	-1.71668	-1.92759	-2.39752	-1.99985	-2.79087
-3.93696	-1.74761	-6.13173	-2.96905	-4.0042	-0.44077	-6.14157	-1.16614	-1.13527	-3.59779	-1.52538	-4.07614	-1.01318	-1.41015	-1.36473	-1.73706	-10.92824	0.35343	-13.68494	-0.6268	-1.92591	-2.39455	-1.99984	-2.79087
-3.91473	-1.79328	-6.1305	-2.96884	-3.99598	-0.60865	-6.14122	-1.1637	-1.13016	-3.70936	-1.52455	-4.07297	-1.0126	-1.39278	-1.36462	-1.73271	-10.88936	-1.8291	-13.68162	-0.14554	-1.92421	-2.39139	-1.99984	-2.79086
-3.91288	-1.82203	-6.12857	-2.95253	-3.95883	-0.44387	-6.1377	-1.1537	-1.12768	-3.54393	-1.52439	-4.05829	-1.00531	-1.35967	-1.36374	-1.73155	-10.88365	-0.89913	-13.67171	-1.48604	-1.92248	-2.38805	-1.99984	-2.79086
-3.88196	-1.69072	-6.12428	-2.94168	-3.94037	-0.44235	-6.13565	-1.14889	-1.125	-3.51897	-1.52354	-4.07607	-1.00363	-1.31082	-1.36361	-1.77104	-10.8739	0.93675	-13.66275	-3.68368	-1.92074	-2.38288	-1.99983	-2.79086
-3.85844	-1.64409	-6.12069	-2.95716	-3.93299	-0.39852	-6.13176	-1.15638	-1.1223	-3.62802	-1.52338	-4.06922	-0.99973	-1.42631	-1.36313	-1.75265	-10.8698	-0.1772	-13.6566	0.57178	-1.91899	-2.38321	-1.99983	-2.79086
-3.85042	-1.85355	-6.1197	-2.95373	-3.91004	-0.40322	-6.12959	-1.13986	-1.12166	-3.7407	-1.5231	-4.06197	-0.99626	-1.3315	-1.36263	-1.69488	-10.80782	-0.56374	-13.65536	-0.19843	-1.91721	-2.37953	-1.99983	-2.79086
-3.84053	-1.84421	-6.11887	-2.92283	-3.89842	-0.37385	-6.12914	-1.14336	-1.11325	-3.6525	-1.52273	-4.07786	-0.99472	-1.17386	-1.36229	-1.7347	-10.79035	-1.58469	-13.64196	-1.13654	-1.91541	-2.37623	-1.99982	-2.79085
