# Fitting to data1.dat with error function
# r_S CDF(fit)
5.248098498538494860e-01 3.638628803144277057e-01
5.248929878297134977e-01 3.658028758645318623e-01
5.249416816858787360e-01 3.669407293214681509e-01
5.249673830646588435e-01 3.675417785639398804e-01
5.252679935525387256e-01 3.745955615362608904e-01
5.253836145243729883e-01 3.773199538518888785e-01
5.254519669478239230e-01 3.789334373391708422e-01
5.254765414911847232e-01 3.795140458837876762e-01
5.254805607174777293e-01 3.796090317192293284e-01
5.254813627233306805e-01 3.796279862856296039e-01
5.255714019877717469e-01 3.817577988796908017e-01
5.256466444483527400e-01 3.835403564893749007e-01
5.256865402255728181e-01 3.844865248742548869e-01
5.256875314041392633e-01 3.845100404575766406e-01
5.258116784290612911e-01 3.874587460899323599e-01
5.259376926955824372e-01 3.904584552509307027e-01
5.259479577486763091e-01 3.907031000446088975e-01
5.259594881786928688e-01 3.909779538900850504e-01
5.259884321625508674e-01 3.916681388054503166e-01
5.259890393530690655e-01 3.916826212516575367e-01
5.260365984668717854e-01 3.928174455454704339e-01
5.260688327176806789e-01 3.935871170262044139e-01
5.261623518661979748e-01 3.958224591339541409e-01
5.262349975249046574e-01 3.975612442610533814e-01
5.262393661932289746e-01 3.976658743013605779e-01
5.262621978306678550e-01 3.982128139016102297e-01
5.263831586391127804e-01 4.011137840344710659e-01
5.264160557125979745e-01 4.019036967997381415e-01
5.265219363273263564e-01 4.044487704888336532e-01
5.265813001026874440e-01 4.058774879656537604e-01
5.266833068918961303e-01 4.083354218781273248e-01
5.268350859798068830e-01 4.119993153282052734e-01
5.269572672928188872e-01 4.149543284836699764e-01
5.269710252064931932e-01 4.152873750810034958e-01
5.269844658781472901e-01 4.156128007887613940e-01
5.271079187638996189e-01 4.186045235770896045e-01
5.271172349937500723e-01 4.188304839489643827e-01
5.272001453199215426e-01 4.208426026795087926e-01
5.272430287316158815e-01 4.218841391090294435e-01
5.272687146296377581e-01 4.225082509348774829e-01
5.272833481612911877e-01 4.228639012507370287e-01
5.273985241309351313e-01 4.256652866024247528e-01
5.274000745155954517e-01 4.257030220119347730e-01
5.274284219832199305e-01 4.263931015695175963e-01
5.274452032245471322e-01 4.268017238375259037e-01
5.275343898687608890e-01 4.289747216092366644e-01
5.275351299238044689e-01 4.289927618651186991e-01
5.275733351116363989e-01 4.299242869716186632e-01
5.276381631451730891e-01 4.315058248391230311e-01
5.276520469450683981e-01 4.318446762612897505e-01
