# Long-range Heisenberg model
# L = 20, J = 1.0, Delta = 1.4
# Heatmap of integrated spin conductivity I(omega)
# alpha, omega, I(omega)

1 7.69999999999999990E-002 0.140435
1 7.79999999999999999E-002 0.142164
1 7.90000000000000008E-002 0.143851
1 8.00000000000000017E-002 0.145593
1 8.10000000000000026E-002 0.147315
1 8.20000000000000034E-002 0.149056
1 8.30000000000000043E-002 0.150782
1 8.40000000000000052E-002 0.152591
1 8.50000000000000061E-002 0.154293
1 8.59999999999999931E-002 0.156009
1 8.69999999999999940E-002 0.157703
1 8.79999999999999949E-002 0.159411
1 8.89999999999999958E-002 0.161276
1 8.99999999999999967E-002 0.162995
1 9.09999999999999976E-002 0.164719
1 9.19999999999999984E-002 0.166377
1 9.29999999999999993E-002 0.168044
1 9.40000000000000002E-002 0.169812
1 9.50000000000000011E-002 0.171519
1 9.60000000000000020E-002 0.173206
1 9.70000000000000029E-002 0.174893
1 9.80000000000000038E-002 0.176586
1 9.90000000000000047E-002 0.178298
1 0.10000000000000001 0.179961
1 0.11000000000000000 0.196383
1 0.12000000000000000 0.212804
1 0.13000000000000000 0.228849
1 0.14000000000000001 0.244713
1 0.14999999999999999 0.260283
1 0.16000000000000000 0.275502
1 0.17000000000000001 0.290598
1 0.17999999999999999 0.305237
1 0.19000000000000000 0.319639
1 0.20000000000000001 0.333784
1 0.20999999999999999 0.347592
1 0.22000000000000000 0.361237
1 0.23000000000000001 0.374551
1 0.23999999999999999 0.387696
1 0.25000000000000000 0.400398
1 0.26000000000000001 0.413046
1 0.27000000000000002 0.425378
1 0.28000000000000003 0.43738
1 0.28999999999999998 0.449111
1 0.29999999999999999 0.46067
1 0.31000000000000000 0.471931
1 0.32000000000000001 0.48291
1 0.33000000000000002 0.493727
1 0.34000000000000002 0.504256
1 0.34999999999999998 0.514542
1 0.35999999999999999 0.524515
1 0.37000000000000000 0.534295
1 0.38000000000000000 0.543846
1 0.39000000000000001 0.553227
1 0.40000000000000002 0.562354
1 0.40999999999999998 0.571314
1 0.41999999999999998 0.579982
1 0.42999999999999999 0.588517
1 0.44000000000000000 0.596839
1 0.45000000000000001 0.604934
1 0.46000000000000002 0.612919
1 0.46999999999999997 0.620693
1 0.47999999999999998 0.628369
1 0.48999999999999999 0.635819
1 0.50000000000000000 0.643082
1 0.51000000000000001 0.650188
1 0.52000000000000002 0.657225
1 0.53000000000000003 0.664025
1 0.54000000000000004 0.670699
1 0.55000000000000004 0.677264
1 0.56000000000000005 0.683667
1 0.56999999999999995 0.689975
1 0.57999999999999996 0.696157
1 0.58999999999999997 0.702226
1 0.59999999999999998 0.708195
1 0.60999999999999999 0.713987
1 0.62000000000000000 0.719688
1 0.63000000000000000 0.725268
1 0.64000000000000001 0.730748
1 0.65000000000000002 0.736166
1 0.66000000000000003 0.741442
1 0.67000000000000004 0.746614
1 0.68000000000000005 0.751683
1 0.68999999999999995 0.756655
1 0.69999999999999996 0.761546
1 0.70999999999999996 0.766332
1 0.71999999999999997 0.771025
1 0.72999999999999998 0.775636
1 0.73999999999999999 0.780144
1 0.75000000000000000 0.78455
1 0.76000000000000001 0.788888
1 0.77000000000000002 0.793128
1 0.78000000000000003 0.797275
1 0.79000000000000004 0.801341
1 0.80000000000000004 0.805318
1 0.81000000000000005 0.809204
1 0.81999999999999995 0.812993
1 0.82999999999999996 0.816694
1 0.83999999999999997 0.820318
1 0.84999999999999998 0.823878
1 0.85999999999999999 0.827345
1 0.87000000000000000 0.830758
1 0.88000000000000000 0.834058
1 0.89000000000000001 0.837259
1 0.90000000000000002 0.840438
1 0.91000000000000003 0.843522
1 0.92000000000000004 0.846523
