# Heisenberg model
# L=16, J=1, W=4.0
# CDF of level statistics r_S
# r_S CDF
3.858348965319999824e-01 7.244318181799999645e-02
3.858388590010000119e-01 7.315340909100000177e-02
3.858826910590000270e-01 7.386363636399999322e-02
3.858927764419999851e-01 7.457386363600000678e-02
3.859130266399999898e-01 7.528409090899999823e-02
3.859132619299999734e-01 7.599431818200000355e-02
3.859227409320000191e-01 7.670454545499999499e-02
3.859405992089999793e-01 7.741477272699999468e-02
3.859555498680000141e-01 7.812500000000000000e-02
3.859630498059999915e-01 7.883522727300000532e-02
3.859959165549999849e-01 7.954545454500000501e-02
3.860251867050000230e-01 8.025568181799999645e-02
3.860302597129999791e-01 8.096590909100000177e-02
3.860336493250000056e-01 8.167613636399999322e-02
3.860639914580000220e-01 8.238636363600000678e-02
3.861038891649999916e-01 8.309659090899999823e-02
3.861212403320000153e-01 8.380681818200000355e-02
3.861246965460000125e-01 8.451704545499999499e-02
3.861530598999999842e-01 8.522727272699999468e-02
3.861659281029999891e-01 8.593750000000000000e-02
3.861972700669999981e-01 8.664772727300000532e-02
3.862167396060000035e-01 8.735795454500000501e-02
3.862390682610000181e-01 8.806818181799999645e-02
3.862561189370000148e-01 8.877840909100000177e-02
3.862593458660000256e-01 8.948863636399999322e-02
3.862613064050000045e-01 9.019886363600000678e-02
3.862632128280000243e-01 9.090909090899999823e-02
3.862986206840000047e-01 9.161931818200000355e-02
3.863028370839999837e-01 9.232954545499999499e-02
3.863384813199999823e-01 9.303977272699999468e-02
3.863693955470000052e-01 9.375000000000000000e-02
3.864245021689999837e-01 9.446022727300000532e-02
3.864449726990000222e-01 9.517045454500000501e-02
3.864981816759999744e-01 9.588068181799999645e-02
3.864995701730000177e-01 9.659090909100000177e-02
3.865062785550000268e-01 9.730113636399999322e-02
3.865199475910000015e-01 9.801136363600000678e-02
3.865365623149999985e-01 9.872159090899999823e-02
3.865417736890000011e-01 9.943181818200000355e-02
3.865536265110000036e-01 1.001420454549999950e-01
3.866395925330000094e-01 1.008522727269999947e-01
3.866433791889999916e-01 1.015625000000000000e-01
3.866505392649999817e-01 1.022727272730000053e-01
3.866605377840000024e-01 1.029829545450000050e-01
3.866620298399999767e-01 1.036931818179999965e-01
3.867044870960000269e-01 1.044034090910000018e-01
3.867093952439999982e-01 1.051136363639999932e-01
3.867186393259999799e-01 1.058238636360000068e-01
3.867387218339999877e-01 1.065340909089999982e-01
3.867734592100000035e-01 1.072443181820000035e-01
3.867878247870000230e-01 1.079545454549999950e-01
3.868466294790000037e-01 1.086647727269999947e-01
3.868927429239999993e-01 1.093750000000000000e-01
3.869014259519999999e-01 1.100852272730000053e-01
3.869893004939999881e-01 1.107954545450000050e-01
3.870113022439999884e-01 1.115056818179999965e-01
3.870421826020000178e-01 1.122159090910000018e-01
3.870580369480000060e-01 1.129261363639999932e-01
3.870692144239999966e-01 1.136363636360000068e-01
3.870871698530000127e-01 1.143465909089999982e-01
3.870938690610000177e-01 1.150568181820000035e-01
3.870950172909999876e-01 1.157670454549999950e-01
3.871558586539999847e-01 1.164772727269999947e-01
3.871704726749999881e-01 1.171875000000000000e-01
3.871792819289999743e-01 1.178977272730000053e-01
3.871852514940000156e-01 1.186079545450000050e-01
3.871960540459999933e-01 1.193181818179999965e-01
3.872594020969999939e-01 1.200284090910000018e-01
3.872722988860000104e-01 1.207386363639999932e-01
3.872984256779999912e-01 1.214488636360000068e-01
3.873092496039999832e-01 1.221590909089999982e-01
3.873211872410000089e-01 1.228693181820000035e-01
3.873435712309999945e-01 1.235795454549999950e-01
