# Fitting to data1.dat with error function
#     r_S CDF(fit)
5.265086295513105030e-01 6.651316720836415453e-01
5.265837637873810317e-01 6.662909607842064652e-01
5.265901252379815434e-01 6.663890425466124645e-01
5.265926910293982077e-01 6.664285990708623819e-01
5.266409458191303461e-01 6.671721928358715914e-01
5.266547779378109029e-01 6.673852211548058078e-01
5.267208951957775831e-01 6.684027448442804165e-01
5.267298087927211325e-01 6.685398274819247533e-01
5.268089866987197833e-01 6.697565156303812994e-01
5.268480120945124856e-01 6.703555410893644595e-01
5.269450624139871975e-01 6.718433314439230530e-01
5.271091308914074292e-01 6.743523172572853941e-01
5.271984580610140636e-01 6.757150316218291097e-01
5.272266251801422943e-01 6.761442434691635750e-01
5.272382747937109926e-01 6.763216924079550330e-01
5.273820573651530896e-01 6.785085029919806221e-01
5.273852199398649798e-01 6.785565339571504317e-01
5.275484710182695158e-01 6.810318068667351454e-01
5.275677575557018439e-01 6.813237067167613459e-01
5.275823762350988488e-01 6.815448840688140830e-01
5.276007400852213980e-01 6.818226333466435030e-01
5.277901620101075331e-01 6.846816114701120837e-01
5.279535420507138754e-01 6.871386915158976816e-01
5.281054348760886308e-01 6.894155843885045876e-01
