time,C4-_Jperp0.2,C4+_Jperp0.2,C4-_Jperp0.6,C4+_Jperp0.6,C4-_Jperp2.0,C4+_Jperp2.0
5.409999999999998010e+01,1.759540497646771284e-01,5.940590645990957708e-02,1.626871499333897421e-04,1.900610391422466331e-03,2.477020416788646589e-04,4.406422172663016813e-03
5.509999999999998010e+01,1.715330150531703124e-01,5.700471710363538141e-02,8.344627096746869165e-05,1.792307731451777113e-03,1.434734811167636976e-04,4.224960390291776155e-03
5.609999999999998010e+01,1.672758585569978362e-01,5.472249782844502280e-02,1.127053618551508501e-04,1.820349778404805208e-03,-1.443449852534242552e-04,4.185149349820639457e-03
5.709999999999998010e+01,1.631903500170207022e-01,5.253479516337262317e-02,1.183739952075025891e-04,1.946206896101858102e-03,1.309916649048556002e-04,3.861862422334854782e-03
5.809999999999998010e+01,1.592157382648962949e-01,5.040441538218011497e-02,1.160253141121811996e-04,2.010112105877340412e-03,-1.673543156400863444e-04,3.912831917315813014e-03
5.909999999999998010e+01,1.553238866340178048e-01,4.836459656155457643e-02,1.618405991487794542e-04,1.978457026188447983e-03,6.432710358807030052e-05,3.833181938239953353e-03
6.009999999999998010e+01,1.515370453027376219e-01,4.644724115397021874e-02,9.733803082511986358e-05,1.937915564053890524e-03,8.542551596084445970e-05,3.575549991255813024e-03
6.109999999999998010e+01,1.478770063684597402e-01,4.463914620930438393e-02,9.005543482548021908e-05,1.912382244201576943e-03,6.884352738283175963e-05,3.374646501693459588e-03
6.209999999999998010e+01,1.443416625580115631e-01,4.291772159037238882e-02,1.774757701103948175e-05,1.950245883499985384e-03,-7.244137947669233458e-06,3.282361462248474440e-03
6.309999999999998010e+01,1.408916823102427662e-01,4.123909786001841993e-02,4.621202525341261251e-05,1.922099323034738528e-03,-7.391794832992205412e-05,3.263702731267467856e-03
6.409999999999998010e+01,1.375166165182767353e-01,3.962084519116796516e-02,9.247817850635889608e-05,1.922452443927518935e-03,4.504114992411503135e-05,3.359739362266989018e-03
6.509999999999998010e+01,1.342188833956413363e-01,3.810986919275538565e-02,4.490669095006467377e-05,1.890260971667537607e-03,1.638219580476821236e-05,3.211737559953295636e-03
6.609999999999998010e+01,1.310075206803315573e-01,3.665625266425340256e-02,3.461108392311630432e-05,1.861354206430884933e-03,-1.382749606435037251e-06,3.029249900687377463e-03
6.709999999999998010e+01,1.279057210781973097e-01,3.523479210377677279e-02,5.380801692501605970e-05,1.806243669500410751e-03,-5.045816614399164146e-05,3.024862271918087563e-03
6.809999999999998010e+01,1.248994848181150530e-01,3.389974420458660709e-02,-1.959039349970620176e-05,1.712262354860904102e-03,-6.277242178377583526e-05,2.978371351700011618e-03
6.909999999999998010e+01,1.219599083148276281e-01,3.263193811377596010e-02,-4.171606645538519271e-05,1.675312666427288769e-03,6.221363699898849154e-05,2.573099444283332045e-03
7.009999999999998010e+01,1.190755159130701124e-01,3.141780010519753391e-02,2.200277818110492621e-05,1.626826459893368666e-03,1.011758453864792644e-04,2.623857399629553680e-03
7.109999999999998010e+01,1.162661875181519172e-01,3.027101034615852990e-02,4.640038035141654034e-06,1.690831065622671638e-03,1.012499866145178458e-04,2.564536488452361530e-03
7.209999999999998010e+01,1.135198148277017510e-01,2.914689602432344456e-02,-2.405905664146487573e-05,1.675060577722578244e-03,2.111378508386359233e-04,2.439655019301304687e-03
7.309999999999998010e+01,1.108589865639312139e-01,2.806982654228395643e-02,4.842501377407930758e-05,1.600737761868235680e-03,-4.915805652714904464e-06,2.596257523350969584e-03
7.409999999999998010e+01,1.082970863541340700e-01,2.704033691631872391e-02,1.673821273510091507e-04,1.678994090079405366e-03,1.404094720367322154e-04,2.387304360418926723e-03
7.509999999999998010e+01,1.057980414887461779e-01,2.606228829757445756e-02,9.967743397261502006e-05,1.793134340585093595e-03,1.779392660613173243e-04,2.324048913918819095e-03
7.609999999999998010e+01,1.033596470832688213e-01,2.509832646549985807e-02,1.270464039630299542e-05,1.848295403000276829e-03,3.021768777848972604e-04,2.306825535359260156e-03
7.709999999999998010e+01,1.009884340325575003e-01,2.420319599597970869e-02,4.431473996351003122e-05,1.942604828235552960e-03,1.002609208888562787e-04,2.159030872296391085e-03
7.809999999999998010e+01,9.866130920808063864e-02,2.337340482892819732e-02,1.163842018088961483e-04,2.045396006991765780e-03,2.502922229505985229e-05,2.186708389779864082e-03
7.909999999999998010e+01,9.638188528840481439e-02,2.256332714489041325e-02,1.781603005857667959e-04,1.999159612117075695e-03,-8.186008650537180049e-05,1.985870580290246667e-03
8.009999999999998010e+01,9.415968681555313136e-02,2.177772327341915420e-02,1.552934063102894555e-04,1.954294950841392250e-03,-9.402517871692610014e-05,2.087117358829773499e-03
8.109999999999998010e+01,9.202255403965535485e-02,2.104377618743299289e-02,2.076303844123797315e-05,1.968252894136643394e-03,-7.090436315445264673e-05,1.993774271053805076e-03
8.209999999999998010e+01,8.996435754790223227e-02,2.034548197175396755e-02,-8.436795113873268913e-05,1.886641749907889357e-03,1.596392923250604737e-04,1.873217031719651149e-03
8.309999999999998010e+01,8.794932758790977023e-02,1.969451500735177815e-02,-1.251908969833409959e-04,1.832670893006052354e-03,-5.049925892742826417e-05,1.943694560726849001e-03
8.409999999999998010e+01,8.596859056217411033e-02,1.907351348111472819e-02,-8.596228705507248950e-05,1.728554823530514166e-03,8.755679269655809282e-05,1.864665260337338001e-03
8.509999999999998010e+01,8.406223912630764183e-02,1.847344722048193874e-02,-4.677071939856950470e-06,1.604636291934892272e-03,1.599188482087564019e-04,1.763409555400219809e-03
8.609999999999998010e+01,8.217295585150855008e-02,1.789124408053543655e-02,-2.992150920042659212e-05,1.496401119766082319e-03,1.868953976332579908e-04,1.766186270245887618e-03
8.709999999999998010e+01,8.032736836158092808e-02,1.732058054185747417e-02,-3.607223569373608325e-05,1.433594048249915622e-03,-1.401648272612073162e-05,1.729285395205419065e-03
8.809999999999998010e+01,7.853947673217323566e-02,1.676106932166427851e-02,4.745453051708318191e-05,1.425983923617921969e-03,6.231738426272544619e-05,1.664298635592556920e-03
8.909999999999998010e+01,7.679794365293082792e-02,1.623070396693085046e-02,1.381183831933588608e-04,1.570773061378710408e-03,-1.129342131207088010e-05,1.595683489185182246e-03
9.009999999999998010e+01,7.508551959158432654e-02,1.572855067562890438e-02,5.912897934203490438e-05,1.677967567046956309e-03,1.773694866499577469e-04,1.525108880816901684e-03
9.109999999999998010e+01,7.339243850998687646e-02,1.520433940246177645e-02,2.706559342065066102e-05,1.673539094540512284e-03,5.085874992781720569e-05,1.535467938401526618e-03
9.209999999999998010e+01,7.174793984213531650e-02,1.470439800198763448e-02,4.083081375329052114e-05,1.750129741102799579e-03,5.123643824343501274e-05,1.576557858489836426e-03
9.309999999999998010e+01,7.014988886457773631e-02,1.428681134212464628e-02,6.824690207443523361e-05,1.750960285201645910e-03,3.200085354420111939e-04,1.624879394214950260e-03
9.409999999999998010e+01,6.859351055727698487e-02,1.389298682108378556e-02,6.139751052128264636e-05,1.710938891468572528e-03,-5.784468105534946959e-05,1.707952145681590917e-03
9.509999999999998010e+01,6.707661493556324461e-02,1.348989229743647461e-02,1.650521550914604309e-05,1.698667117547027509e-03,6.600002344398639485e-05,1.655977626564177812e-03
9.609999999999998010e+01,6.559322535298831025e-02,1.307261915066719980e-02,-5.063673497356422364e-06,1.696726704865952895e-03,2.712217033224543507e-04,1.498951786396484709e-03
9.709999999999998010e+01,6.412549856807120419e-02,1.269907286973660787e-02,3.040871315777661496e-05,1.765272273010761589e-03,1.113072863806059801e-04,1.324845167825402289e-03
9.809999999999998010e+01,6.267729540865175919e-02,1.235205347228633503e-02,1.215362093744664236e-04,1.860816357757255840e-03,8.235305868060708819e-05,1.482075702247023351e-03
9.909999999999998010e+01,6.127012995508478860e-02,1.202392499875802601e-02,1.172405978004287155e-04,1.782789617760591281e-03,1.862574947968555358e-04,1.335450495499028705e-03
1.000999999999999801e+02,5.992474638032366935e-02,1.169623392973866312e-02,4.524661311691804852e-05,1.706672114777207927e-03,-7.578076614757079657e-05,1.102694555663360576e-03
1.100999999999999801e+02,4.802846007171131942e-02,8.903216665310400776e-03,-4.234431488731479719e-05,1.527954627323286187e-03,-4.885182642267031129e-05,1.287915194556369649e-03
1.200999999999999801e+02,3.857234451369435241e-02,7.147294775370877096e-03,-6.633154019128802159e-05,1.811310481715022692e-03,-9.758852197338922264e-05,1.070385200197875074e-03
1.300999999999999659e+02,3.097741894887245592e-02,5.985305479131253562e-03,1.034741070634274382e-04,1.789916876388963256e-03,9.758066699184750651e-05,1.221437604304099729e-03
1.400999999999999659e+02,2.507238575639981343e-02,5.145389660619062271e-03,1.269363456500787553e-04,1.848768571620579629e-03,1.664667118554934510e-05,8.546447994479360174e-04
1.500999999999999659e+02,2.031269188258436401e-02,4.595934259403317707e-03,7.270511267690350906e-05,1.800843382279241787e-03,-8.211529687591405217e-05,7.991215795454012201e-04
1.600999999999999659e+02,1.640163394446284006e-02,4.151426486905146138e-03,8.539238610270473797e-05,1.555480921870045722e-03,1.427586562393761920e-05,6.254705835587975708e-04
1.700999999999999659e+02,1.337833522524956541e-02,3.806299610851852141e-03,1.664387811027788738e-04,1.599139827583271950e-03,-3.886703724343357625e-05,7.124556931445433575e-04
1.800999999999999659e+02,1.076953613334906239e-02,3.652356049914069237e-03,1.161890871909695543e-04,1.799105293161912342e-03,-1.059013260018063483e-04,8.074703273209551902e-04
1.900999999999999659e+02,8.761698047175577736e-03,3.547076171909724438e-03,-5.551101722996098581e-05,1.588329124978363465e-03,-1.408255071727968367e-04,5.781800705435584864e-04
2.000999999999999659e+02,7.209767340556140318e-03,3.446688134511304707e-03,-1.048542414864193953e-05,1.598530001241822967e-03,-2.864161318877078507e-05,6.997896846523681425e-04
2.100999999999999659e+02,5.758770329437045213e-03,3.237436655753312981e-03,2.218902314208126938e-05,1.669279160850036707e-03,1.911759457363594497e-05,7.688881995188374474e-04
2.200999999999999659e+02,4.733415557089867658e-03,3.295239662659561058e-03,-2.313359915257602530e-04,1.646459265393981821e-03,1.455179859994702249e-05,7.143048597618747823e-04
2.300999999999999659e+02,3.670940212669965112e-03,3.283052441549192020e-03,5.113982284550690698e-05,1.507774015751711053e-03,-3.382589386137522592e-05,5.981314766322745656e-04
2.400999999999999659e+02,2.951945128563517561e-03,3.069703581172388875e-03,-9.534241760328097189e-05,1.732097031730682902e-03,-9.944083460012774717e-05,4.700775735081845789e-04
2.500999999999999659e+02,2.323157291895616358e-03,3.028394899777639340e-03,9.574808761578523797e-05,1.687119437669158672e-03,1.030777233467138147e-04,4.484767886720900988e-04
2.600999999999999659e+02,1.882068931287470296e-03,3.054452156991695720e-03,9.450965513757835510e-05,1.720144087916414656e-03,-9.107109719868129629e-05,5.414773916863364206e-04
2.700999999999999659e+02,1.574851100289713325e-03,3.144224454551623055e-03,1.108807386092554721e-04,1.493965984718735682e-03,8.362644514784591389e-05,6.692772109892187408e-04
2.800999999999999659e+02,1.289799447112582745e-03,3.082775472976486807e-03,-3.235920795553382841e-05,1.702971674067564091e-03,2.308060305962861237e-04,4.422560952592686015e-04
2.900999999999999659e+02,9.527422721559350698e-04,2.951070523936757343e-03,6.734870986058073686e-05,1.488419674723919037e-03,-9.356238972722592427e-05,3.692477857945189825e-04
3.000999999999999659e+02,7.547588033763364974e-04,3.052629380136851964e-03,-1.060510948120990541e-04,1.681996961537561433e-03,1.429603182692267287e-04,5.618428419683533332e-04
3.100999999999999659e+02,4.969014210070475885e-04,3.035653789762394941e-03,-2.750336000177571534e-05,1.824814816229780069e-03,1.596419471135713996e-05,4.478817656977030132e-04
3.200999999999999659e+02,3.504335567573212194e-04,3.222496732718554274e-03,7.476917497319739126e-05,1.442952318592142635e-03,1.412668029355182843e-04,4.890654396892641720e-04
3.300999999999999659e+02,3.752549467847186545e-04,3.133333593385170725e-03,2.240261348025129288e-05,1.670341146978367511e-03,1.535791927875334293e-04,3.942715787973665549e-04
3.400999999999999659e+02,3.573857794234556757e-04,3.055724181154651289e-03,1.376136837543040969e-04,1.633732915460265256e-03,1.409486828484098216e-04,4.769295204879782520e-04
3.500999999999999659e+02,2.682773044436132567e-04,2.947473849156183236e-03,1.827442597618184842e-04,1.701680438326796854e-03,-1.303838566367573535e-04,5.800772738205464468e-04
3.600999999999999659e+02,1.148906611570976228e-04,3.070278310958864196e-03,-6.360136475217207286e-05,1.660350253628301844e-03,1.580841480711989513e-04,7.317192539319295527e-04
3.700999999999999659e+02,1.362955621045242309e-04,2.957829981405574356e-03,-6.805277072169670072e-05,1.808917809583384870e-03,1.629748311774630197e-05,3.668390103631536292e-04
3.800999999999999659e+02,1.313692338629511623e-04,2.898601105346099681e-03,4.087889359782440914e-05,1.716386782337073463e-03,-2.980643029521361925e-06,4.861141420759113128e-04
3.900999999999999659e+02,1.854968024501045206e-04,2.839648089979622016e-03,1.383679824819979913e-04,1.750225989973998612e-03,-3.820249546976784566e-05,7.343972562545137252e-04
4.000999999999999659e+02,1.359768533374816504e-04,2.952023825488103454e-03,-1.213395898083203053e-04,1.863752728489327009e-03,-2.165387383248645975e-05,6.241779918296842030e-04
4.100999999999999659e+02,1.076593486594529058e-04,2.797602574652064376e-03,-1.950506414842267922e-04,1.718301244292755065e-03,-7.288825194155234828e-05,4.395324828721790559e-04
4.200999999999999659e+02,1.449724898966341037e-04,2.953912323250912093e-03,-5.220753513120755183e-05,1.788783935727163458e-03,-1.616973556384879857e-04,7.048089094800178995e-04
4.300999999999999659e+02,8.836438589375946167e-05,2.844083991517805214e-03,3.602602926614669973e-05,1.524969924330027383e-03,1.624020035582628911e-04,5.895950229548842453e-04
4.400999999999999659e+02,1.904838411443391570e-04,3.000842244202993423e-03,-1.467266732840708509e-05,1.638501331937121776e-03,3.850736342559314983e-05,4.077159116267247470e-04
4.500999999999999659e+02,1.450432810245819149e-04,2.759204375549809910e-03,4.318292349467312208e-05,1.759064047375615003e-03,-1.276035625467760934e-04,6.476105753000022591e-04
4.600999999999999659e+02,2.169352692911091828e-04,2.868145007500810632e-03,8.994125674367068756e-05,1.730778248086109689e-03,1.951315915567797157e-04,5.879575153964304579e-04
4.700999999999999659e+02,5.734083970913853636e-05,2.883500272758338697e-03,2.822855634487006997e-05,1.687176616356215065e-03,1.850598174721335555e-04,6.368265158482539282e-04
4.800999999999999659e+02,2.382741721204951257e-05,2.882080458522793924e-03,-7.755045498061499286e-05,1.397893472254253594e-03,9.772481200931960811e-05,9.279970773054099700e-04
