# XXZ spin chain 
# DTP for L=20, Delta->0.0, omega_p=0.037425
# Integrated and normalized regular part of the optical conductivity I_reg(omega/omega_p) 
# omega/omega_p I_reg(omega/omega_p))

0.479359 0.0279543
0.48016 0.0279543
0.480962 0.0279543
0.481764 0.0285896
0.482565 0.0285896
0.483367 0.0285896
0.484168 0.0285896
0.48497 0.0285896
0.485772 0.0285896
0.486573 0.0285896
0.487375 0.0298602
0.488176 0.0298602
0.488978 0.0298602
0.48978 0.0304956
0.490581 0.0311309
0.491383 0.0311309
0.492184 0.0311309
0.492986 0.0311309
0.493788 0.0311309
0.494589 0.0317662
0.495391 0.0330368
0.496192 0.0336722
0.496994 0.0336722
0.497796 0.0336722
0.498597 0.0336722
0.499399 0.0336722
0.5002 0.0343075
0.501002 0.0343075
0.501804 0.0343075
0.502605 0.0343075
0.503407 0.0349428
0.504208 0.0355781
0.50501 0.0362135
0.505812 0.0362135
0.506613 0.0362135
0.507415 0.0368488
0.508216 0.0374841
0.509018 0.0374841
0.50982 0.0381194
0.510621 0.0381194
0.511423 0.0381194
0.512224 0.0381194
0.513026 0.0387548
0.513828 0.0387548
0.514629 0.0393901
0.515431 0.0393901
0.516232 0.0400254
0.517034 0.0400254
0.517836 0.0400254
0.518637 0.0400254
0.519439 0.0406607
0.52024 0.0406607
0.521042 0.0412961
0.521844 0.0419314
0.522645 0.0425667
0.523447 0.0425667
0.524248 0.0425667
0.52505 0.0425667
0.525852 0.0425667
0.526653 0.043202
0.527455 0.043202
0.528257 0.0438374
0.529058 0.0438374
0.52986 0.0444727
0.530661 0.0444727
0.531463 0.0444727
0.532265 0.0444727
0.533066 0.045108
0.533868 0.045108
0.534669 0.0463787
0.535471 0.0463787
0.536273 0.047014
0.537074 0.047014
0.537876 0.047014
0.538677 0.0476493
0.539479 0.0476493
0.540281 0.0476493
0.541082 0.0482846
0.541884 0.0482846
0.542685 0.0482846
0.543487 0.0482846
0.544289 0.0495553
0.54509 0.0501906
0.545892 0.0501906
0.546693 0.0501906
0.547495 0.0514612
0.548297 0.0514612
0.549098 0.0514612
0.5499 0.0514612
0.550701 0.0520966
0.551503 0.0520966
0.552305 0.0520966
0.553106 0.0520966
0.553908 0.0527319
0.554709 0.0527319
0.555511 0.0527319
0.556313 0.0527319
0.557114 0.0533672
0.557916 0.0533672
0.558717 0.0533672
0.559519 0.0533672
0.560321 0.0540025
0.561122 0.0540025
0.561924 0.0540025
0.562725 0.0540025
0.563527 0.0546379
