time,C4-_L14_U0.08,C4+_L12_U0.08,C4+_L13_U0.08,C4+_L14_U0.08,C4-_L14_U0.32,C4+_L12_U0.32,C4+_L13_U0.32,C4+_L14_U0.32,C4-_L14_U1.28,C4+_L12_U1.28,C4+_L13_U1.28,C4+_L14_U1.28
8.100999999999999091e+02,2.167516440371543892e-03,7.553226161198089983e-01,6.264966635134933126e-01,6.582960683721785777e-01,7.938008809771459121e-05,9.919853249329109446e-02,3.302179624920314333e-02,2.891407561881352561e-02,6.103841913590601648e-05,1.736469801265348722e-02,7.302271485680251160e-03,4.384189225050157471e-03
8.200999999999999091e+02,2.048873213789009599e-03,7.539399756063424052e-01,6.239775928190743892e-01,6.558943192274907519e-01,7.123573861630535706e-05,9.816501648844608297e-02,3.268194058348512787e-02,2.849377055529097799e-02,8.242587432787217146e-05,1.664880865355921821e-02,7.616572492868219600e-03,4.221574320584692980e-03
8.300999999999999091e+02,1.955225536041471299e-03,7.523943774618599978e-01,6.215470228242570006e-01,6.534273719392339475e-01,2.912445207517089514e-05,9.714060238589866669e-02,3.224362913795619096e-02,2.799163869142317143e-02,3.895134819677343849e-06,1.702152374581671762e-02,7.168846112281689574e-03,4.346381987621136637e-03
8.400999999999999091e+02,1.829528140074207845e-03,7.510727210925159936e-01,6.190248866261607308e-01,6.510048076565815300e-01,3.687568780135842464e-05,9.689955200636933552e-02,3.216831393187533777e-02,2.757947518766258252e-02,7.833003393836508873e-05,1.722670730950173063e-02,7.375145541473760412e-03,4.263361636663957899e-03
8.500999999999999091e+02,1.742042535102206755e-03,7.499670085777698780e-01,6.165127219637406286e-01,6.486837012869957064e-01,-1.051452165732272580e-04,9.550856128930947098e-02,3.174061753983641043e-02,2.710625673800441671e-02,1.158660811851128908e-04,1.666813536307176422e-02,7.129479491415678313e-03,4.190012231480225516e-03
8.600999999999999091e+02,1.591616466954195487e-03,7.487103353128187200e-01,6.139220978486112923e-01,6.462877447606455439e-01,-3.358102497935091315e-05,9.552936563741822040e-02,3.141507623397375715e-02,2.658467803886515463e-02,-1.310592952993854387e-05,1.633968143974973489e-02,7.346173091364936562e-03,4.198370793796781658e-03
8.700999999999999091e+02,1.461645341387806827e-03,7.473546877811769740e-01,6.114970561314488906e-01,6.439408608780442522e-01,-2.218151859762244614e-05,9.436802291678961230e-02,3.096211744329183460e-02,2.625004523721367541e-02,-1.749746687136803452e-04,1.710614068642864541e-02,7.135790927356856599e-03,4.145071301444927352e-03
8.800999999999999091e+02,1.418078023595541019e-03,7.461939895627137664e-01,6.090584879010841890e-01,6.416297987606388586e-01,6.865061265494085456e-07,9.457406597978977592e-02,3.054900974451463594e-02,2.567965136124566311e-02,1.868152244553136218e-05,1.670708919727062827e-02,7.176596354675856756e-03,4.266071008344318044e-03
8.900999999999999091e+02,1.339226442858684188e-03,7.447593625657329408e-01,6.066876505058628188e-01,6.393113599629659527e-01,1.037800246335176572e-05,9.375389456396387988e-02,3.025094976059256383e-02,2.534811381067926875e-02,4.836610877011949557e-05,1.676076337498422567e-02,7.200375216274451651e-03,3.964006733287383025e-03
9.000999999999999091e+02,1.300904765398496182e-03,7.433757223121989499e-01,6.042777599508128983e-01,6.370321304780143246e-01,-1.632926176913581534e-04,9.299943688230839778e-02,3.008209992341697239e-02,2.512480623263658661e-02,3.779557759339123330e-05,1.707039128074999690e-02,6.880977092927573549e-03,4.001457466888807928e-03
9.100999999999999091e+02,1.258825630461568460e-03,7.423609861436027968e-01,6.019235845771447879e-01,6.347234356770781183e-01,-8.259894672463528919e-05,9.261485650500954347e-02,2.973406141199881961e-02,2.471071275933270708e-02,-3.722409859478285617e-04,1.695062576480696470e-02,7.165820138540584215e-03,3.900969907434778585e-03
9.200999999999999091e+02,1.243233570940978144e-03,7.411582988423009999e-01,5.995716325879630881e-01,6.324722621215794760e-01,-7.954441112810162445e-05,9.210374968368388593e-02,2.946097445998688627e-02,2.431782240615111557e-02,-1.407474008866587615e-05,1.689454826570320131e-02,7.300559210989548617e-03,3.817629042924846738e-03
9.300999999999999091e+02,1.200066511397626786e-03,7.400015995841081606e-01,5.972679388894257535e-01,6.302090611336108594e-01,6.917458292095144323e-05,9.159084248607959888e-02,2.931284054730576641e-02,2.406401768804015961e-02,1.293196692967902987e-04,1.644602841126436427e-02,6.721767152715704685e-03,4.016886948592152638e-03
9.400999999999999091e+02,1.185623678764614192e-03,7.387739187811169783e-01,5.949180294950988657e-01,6.279855379745387101e-01,5.144764594939398033e-05,9.098631614007328394e-02,2.907471148136581834e-02,2.384807725740262924e-02,-5.604581003698397789e-05,1.615843095157507708e-02,6.951696012186312987e-03,3.720068914516224019e-03
9.500999999999999091e+02,1.146413856243669706e-03,7.375392397976526793e-01,5.926385595487217994e-01,6.257922165122681291e-01,1.018665135030917226e-04,9.069055432585411414e-02,2.885369078783742852e-02,2.346154493735511451e-02,-4.889268285964570599e-05,1.660624983727511383e-02,7.227036787431680674e-03,3.947495814415324759e-03
9.600999999999999091e+02,1.128915876770197760e-03,7.361695959050648108e-01,5.903230884516176280e-01,6.235645433923076020e-01,1.620444076815649346e-04,9.000451094278703879e-02,2.855842584707966522e-02,2.308070652687962618e-02,-4.893540832847910010e-05,1.674444081720938629e-02,6.945990562512676172e-03,3.884368316394492659e-03
9.700999999999999091e+02,1.101169721285390939e-03,7.348649351168696775e-01,5.880869276142790536e-01,6.213411263132820883e-01,-1.236661712410268700e-04,8.919694216091163252e-02,2.847554730600301148e-02,2.286232443406587683e-02,-1.885629085670100945e-04,1.630012677520333020e-02,6.621855696996173726e-03,3.715990424365440102e-03
