time,C3-_L14_U0.08,C3+_L12_U0.08,C3+_L13_U0.08,C3+_L14_U0.08,C3-_L14_U0.32,C3+_L12_U0.32,C3+_L13_U0.32,C3+_L14_U0.32,C3-_L14_U1.28,C3+_L12_U1.28,C3+_L13_U1.28,C3+_L14_U1.28
8.700999999999999091e+02,1.349884263385863880e-03,9.118976837607180030e-01,8.660128163016325153e-01,8.845133096647386228e-01,-1.297245706434882798e-04,2.846223767143127859e-01,1.689938272341767189e-01,1.927225286647293034e-01,9.788836045154572903e-06,3.062059461232588542e-02,1.388447051794049376e-02,7.730978186104226109e-03
8.800999999999999091e+02,1.311837375370737040e-03,9.113025194953808805e-01,8.648774914098769084e-01,8.835045557502074764e-01,-5.306790195173766123e-06,2.819563892801134619e-01,1.665197846837311313e-01,1.896369791687630979e-01,-1.500235708629279975e-04,3.050328428901743355e-02,1.303863866541053219e-02,7.700902015285951245e-03
8.900999999999999091e+02,1.241425324331392249e-03,9.107113563343484097e-01,8.637238380447173069e-01,8.824843120412009245e-01,6.057271135624833606e-05,2.796989401975767398e-01,1.640957368778493408e-01,1.868124239131917497e-01,4.806797376623673840e-05,3.036687228476105810e-02,1.314180894562963151e-02,7.371938463928873371e-03
9.000999999999999091e+02,1.108653807290915566e-03,9.100561755044392909e-01,8.625815596041945810e-01,8.814915913298778660e-01,9.037454227635883933e-05,2.771987653951035191e-01,1.617340746901209381e-01,1.840025329245004171e-01,-1.675363850106907109e-05,2.958110313707606326e-02,1.279533895493119820e-02,7.199943675845065123e-03
9.100999999999999091e+02,1.066093798016304241e-03,9.093319756252726815e-01,8.614786345761382691e-01,8.804982165226020729e-01,1.386065760530245570e-04,2.745028118226403580e-01,1.594176941525803359e-01,1.812653518078533588e-01,-4.982404996749796290e-05,2.956630183456144048e-02,1.266015062141206786e-02,7.156490117246649615e-03
9.200999999999999091e+02,1.040309666168977515e-03,9.087038022494208223e-01,8.602590551525576279e-01,8.795270513884326791e-01,-1.318051676402421041e-04,2.721834327210251869e-01,1.569360548326303728e-01,1.785447282174554562e-01,-3.467292481987409314e-05,2.974551760554928689e-02,1.312500097292134023e-02,6.971535722810722792e-03
9.300999999999999091e+02,9.880573207863888562e-04,9.079926059592448029e-01,8.591196842160596647e-01,8.785167150678391268e-01,-2.807131595253370139e-06,2.702646010008689648e-01,1.549887471144667517e-01,1.758028993060102574e-01,-9.422709790683677636e-05,2.900545247981822436e-02,1.286547671251333375e-02,6.865218652850670414e-03
9.400999999999999091e+02,9.438642471907374848e-04,9.073444270618691299e-01,8.580535386107411844e-01,8.775680755140279343e-01,1.819811945426729101e-04,2.679012715631336472e-01,1.526431088351145049e-01,1.731276715364814534e-01,1.904412816397253912e-04,2.936818440022721799e-02,1.242572950120456564e-02,6.810749486892924039e-03
9.500999999999999091e+02,9.219787206125316156e-04,9.066342310477691901e-01,8.569289850930869035e-01,8.765449750632106074e-01,1.344516766423828313e-05,2.651883371789877097e-01,1.505368801887110863e-01,1.705711806190014224e-01,-2.177730112511481152e-04,2.921117058301130401e-02,1.277764812171071872e-02,6.598633872773927364e-03
9.600999999999999091e+02,8.452930072558304843e-04,9.059790502178601823e-01,8.557974433285052696e-01,8.755877337260934423e-01,1.582425724899440416e-05,2.628939298592590235e-01,1.484133471869372167e-01,1.680033344314485755e-01,1.571080958331564205e-04,2.904125563049548414e-02,1.208335129924209030e-02,6.375684951737952723e-03
9.700999999999999091e+02,8.095137199555494821e-04,9.053738831917610419e-01,8.546933222012623732e-01,8.745862839879026129e-01,6.799590193222777184e-05,2.607143927362080560e-01,1.462778759867523481e-01,1.654633842156058021e-01,-1.297768226566400332e-04,2.891664466473049810e-02,1.223001749812688624e-02,6.310023404857807543e-03
9.800999999999999091e+02,7.726005047029175024e-04,9.047357070551472757e-01,8.535291005814871212e-01,8.736021753044340699e-01,2.210010159168137591e-04,2.586087720875410723e-01,1.443107399785107658e-01,1.630627337985241232e-01,-9.309300277394723464e-05,2.816057813087551390e-02,1.171080366975874379e-02,6.197225943082535458e-03
9.900999999999999091e+02,7.828507923135508964e-04,9.042535739864203670e-01,8.523536827263481497e-01,8.726493285070423545e-01,2.185807572025633166e-05,2.561615374626671771e-01,1.422514707976815229e-01,1.605944913010173558e-01,-1.462032777095826209e-04,2.918226803958748339e-02,1.187445844823043287e-02,5.910889665774700028e-03
1.000099999999999909e+03,7.161244744345013997e-04,8.979608371910647868e-01,8.512263193965555752e-01,8.716701571670699700e-01,-1.166969267467778517e-04,2.365736717509214493e-01,1.402501429257664300e-01,1.581945453610552610e-01,-3.851619875264835409e-05,2.708398339053836798e-02,1.176992093542761526e-02,6.076313646401708922e-03
1.100099999999999909e+03,5.278415251013070849e-04,8.919311730037490227e-01,8.401399193071695803e-01,8.619874164791889726e-01,-1.361170694890755499e-05,2.198755406390777989e-01,1.225482925910519744e-01,1.368668713297341022e-01,-2.153751447989471826e-04,2.579987038859419754e-02,1.092567351755836802e-02,5.337376780878300836e-03
1.200099999999999909e+03,4.294460448331355708e-04,8.861555789397874694e-01,8.295031309924976171e-01,8.525729270892183909e-01,1.801597156664562667e-05,2.049404173284188613e-01,1.083519504936774486e-01,1.189441944988177818e-01,4.340863672178522269e-05,2.535653137476097732e-02,1.015754799311951659e-02,4.642506249072712345e-03
1.300099999999999909e+03,1.509650952156021964e-04,8.805950442322081351e-01,8.192681771190275519e-01,8.433196562476907854e-01,-9.591713941649795548e-05,1.923466482874351957e-01,9.618657493421736704e-02,1.040152087032907846e-01,6.561838055706566177e-06,2.575166614662090236e-02,9.681695029285203313e-03,4.195501618935912856e-03
1.400099999999999909e+03,1.218324877074089855e-04,8.752475683288587494e-01,8.091640858558308835e-01,8.342159860626782164e-01,-1.387651048502705324e-04,1.823259716520331808e-01,8.662318932284729378e-02,9.134524819066142109e-02,-3.916538309355919659e-05,2.474577762843130357e-02,9.310825263225717269e-03,4.080544752416938835e-03
