# XXZ spin chain 
# ED for L=20, Delta=0.600
# High-T spin conductivity sigma(omega)
# omega/J sigma(omega) sigma(omega){rescaled} 

7.4499999999999997E-002 5.1860243221872583E-002 0.85186
7.4999999999999997E-002 4.7555988109018767E-002 0.847556
7.5499999999999998E-002 5.2869255524970495E-002 0.852869
7.5999999999999998E-002 5.1761937608715135E-002 0.851762
7.6499999999999999E-002 5.1654606742140917E-002 0.851655
7.6999999999999999E-002 5.6434034717649878E-002 0.856434
7.7499999999999999E-002 5.5102381126362558E-002 0.855102
7.8000000000000000E-002 5.6179970382859198E-002 0.85618
7.8500000000000000E-002 5.2079793972196524E-002 0.85208
7.9000000000000001E-002 6.0895784521721980E-002 0.860896
7.9500000000000001E-002 5.6302640289678241E-002 0.856303
8.0000000000000002E-002 5.1409621029594677E-002 0.85141
8.0500000000000002E-002 5.1972302694453146E-002 0.851972
8.1000000000000003E-002 5.6275819229126188E-002 0.856276
8.1500000000000003E-002 5.3132893312935484E-002 0.853133
8.2000000000000003E-002 5.0566241846870100E-002 0.850566
8.2500000000000004E-002 5.5457366317421368E-002 0.855457
8.3000000000000004E-002 4.8043810529514633E-002 0.848044
8.3500000000000005E-002 4.8061588438148513E-002 0.848062
8.4000000000000005E-002 4.8033882973125670E-002 0.848034
8.4500000000000006E-002 5.5525240054333465E-002 0.855525
8.5000000000000006E-002 5.2305562308820733E-002 0.852306
8.5500000000000007E-002 5.2412811406258378E-002 0.852413
8.6000000000000007E-002 5.8681240613432627E-002 0.858681
8.6500000000000007E-002 5.0107984024230078E-002 0.850108
8.7000000000000008E-002 5.3159792455424820E-002 0.85316
8.7500000000000008E-002 5.7504583758081644E-002 0.857505
8.7999999999999995E-002 5.5014972137910755E-002 0.855015
8.8499999999999995E-002 5.9233126192249574E-002 0.859233
8.8999999999999996E-002 6.1577229174089969E-002 0.861577
8.9499999999999996E-002 5.0910063016803016E-002 0.85091
8.9999999999999997E-002 5.4795603561041156E-002 0.854796
9.0499999999999997E-002 5.6739441137353790E-002 0.856739
9.0999999999999998E-002 5.0006860412563130E-002 0.850007
9.1499999999999998E-002 5.5859696038968565E-002 0.85586
9.1999999999999998E-002 6.1936662518751850E-002 0.861937
9.2499999999999999E-002 5.1232190893287427E-002 0.851232
9.2999999999999999E-002 5.4895034293547640E-002 0.854895
9.3500000000000000E-002 4.9213117013679426E-002 0.849213
9.4000000000000000E-002 5.4727258678877143E-002 0.854727
9.4500000000000001E-002 6.5642944388224392E-002 0.865643
9.5000000000000001E-002 5.7036992673033825E-002 0.857037
9.5500000000000002E-002 5.5098834790839255E-002 0.855099
9.6000000000000002E-002 7.0009400807998487E-002 0.870009
9.6500000000000002E-002 6.1657287201765554E-002 0.861657
9.7000000000000003E-002 6.4280856616068319E-002 0.864281
9.7500000000000003E-002 6.0727079520804195E-002 0.860727
9.8000000000000004E-002 6.4917075743313998E-002 0.864917
9.8500000000000004E-002 7.1607816378142189E-002 0.871608
9.9000000000000005E-002 6.4286576944052751E-002 0.864287
9.9500000000000005E-002 5.8870042675609212E-002 0.85887
0.10000000000000001 6.4439282674605719E-002 0.864439
