# J1-J2 AHM model
# L = 18, J = 1.0, Delta = 1.0
# Heatmap of integrated spin conductivity I(omega)
# alpha, omega, I(omega)

1 1.8000000000000000E-003 0.00445371
1 1.9000000000000000E-003 0.00471149
1 2.0000000000000000E-003 0.00503769
1 2.0999999999999999E-003 0.0052736
1 2.2000000000000001E-003 0.00547259
1 2.3000000000000000E-003 0.00572403
1 2.3999999999999998E-003 0.00595015
1 2.5000000000000001E-003 0.00620195
1 2.5999999999999999E-003 0.00649255
1 2.7000000000000001E-003 0.00669931
1 2.8000000000000000E-003 0.00692113
1 2.8999999999999998E-003 0.00720482
1 3.0000000000000001E-003 0.00747512
1 3.0999999999999999E-003 0.00771614
1 3.2000000000000002E-003 0.00792492
1 3.3000000000000000E-003 0.00813854
1 3.3999999999999998E-003 0.00843409
1 3.5000000000000001E-003 0.00866068
1 3.5999999999999999E-003 0.00890017
1 3.7000000000000002E-003 0.00916654
1 3.8000000000000000E-003 0.00935082
1 3.8999999999999998E-003 0.00959321
1 4.0000000000000001E-003 0.009845
1 4.1000000000000003E-003 0.0100831
1 4.1999999999999997E-003 0.010337
1 4.3000000000000000E-003 0.0105983
1 4.4000000000000003E-003 0.0108526
1 4.4999999999999997E-003 0.0111439
1 4.5999999999999999E-003 0.0113947
1 4.7000000000000002E-003 0.011664
1 4.7999999999999996E-003 0.0118847
1 4.8999999999999998E-003 0.0120754
1 5.0000000000000001E-003 0.0123694
1 5.1000000000000004E-003 0.0126501
1 5.1999999999999998E-003 0.012906
1 5.3000000000000000E-003 0.0131465
1 5.4000000000000003E-003 0.0133638
1 5.4999999999999997E-003 0.0136049
1 5.5999999999999999E-003 0.0138197
1 5.7000000000000002E-003 0.0140462
1 5.7999999999999996E-003 0.0143347
1 5.8999999999999999E-003 0.0145958
1 6.0000000000000001E-003 0.0148862
1 6.1000000000000004E-003 0.015124
1 6.1999999999999998E-003 0.0153429
1 6.3000000000000000E-003 0.0155851
1 6.4000000000000003E-003 0.0158218
1 6.4999999999999997E-003 0.016099
1 6.6000000000000000E-003 0.0164075
1 6.7000000000000002E-003 0.0166934
1 6.7999999999999996E-003 0.0169004
1 6.8999999999999999E-003 0.0171045
1 7.0000000000000001E-003 0.0173604
1 7.1000000000000004E-003 0.0175526
1 7.1999999999999998E-003 0.0177816
1 7.3000000000000001E-003 0.0180988
1 7.4000000000000003E-003 0.0183508
1 7.4999999999999997E-003 0.0185802
1 7.6000000000000000E-003 0.0188379
1 7.7000000000000002E-003 0.0190962
1 7.7999999999999996E-003 0.0193309
1 7.9000000000000008E-003 0.0195513
1 8.0000000000000002E-003 0.0198495
1 8.0999999999999996E-003 0.0200543
1 8.2000000000000007E-003 0.0203124
1 8.3000000000000001E-003 0.0205949
1 8.3999999999999995E-003 0.0208099
1 8.5000000000000006E-003 0.021018
1 8.6000000000000000E-003 0.0212893
1 8.6999999999999994E-003 0.0215314
1 8.8000000000000005E-003 0.021729
1 8.8999999999999999E-003 0.0219972
1 8.9999999999999993E-003 0.0222484
1 9.1000000000000004E-003 0.0224504
1 9.1999999999999998E-003 0.0226708
1 9.2999999999999992E-003 0.0228479
1 9.4000000000000004E-003 0.023148
1 9.4999999999999998E-003 0.0234543
1 9.5999999999999992E-003 0.0236927
1 9.7000000000000003E-003 0.0239586
1 9.7999999999999997E-003 0.0241677
1 9.9000000000000008E-003 0.0243693
1 1.0000000000000000E-002 0.0246188
1 1.0999999999999999E-002 0.02711
1 1.2000000000000000E-002 0.0295182
1 1.2999999999999999E-002 0.0322416
1 1.4000000000000000E-002 0.0346254
1 1.4999999999999999E-002 0.03686
1 1.6000000000000000E-002 0.0391405
1 1.7000000000000001E-002 0.0418818
1 1.7999999999999999E-002 0.0444236
1 1.9000000000000000E-002 0.0467275
1 2.0000000000000000E-002 0.0490712
1 2.1000000000000001E-002 0.0517217
1 2.1999999999999999E-002 0.0541771
1 2.3000000000000000E-002 0.0567071
1 2.4000000000000000E-002 0.0592155
1 2.5000000000000001E-002 0.0616922
1 2.5999999999999999E-002 0.0642076
1 2.7000000000000000E-002 0.0667272
1 2.8000000000000001E-002 0.0692235
1 2.9000000000000001E-002 0.0717309
1 2.9999999999999999E-002 0.0743763
1 3.1000000000000000E-002 0.0769207
1 3.2000000000000001E-002 0.0794058
1 3.3000000000000002E-002 0.0818929
1 3.4000000000000002E-002 0.0845824
1 3.5000000000000003E-002 0.0872395
1 3.5999999999999997E-002 0.0897298
1 3.6999999999999998E-002 0.0924904
1 3.7999999999999999E-002 0.0949016
1 3.9000000000000000E-002 0.0977202
1 4.0000000000000001E-002 0.100173
1 4.1000000000000002E-002 0.103073
1 4.2000000000000003E-002 0.106077
1 4.2999999999999997E-002 0.108678
1 4.3999999999999997E-002 0.111142
1 4.4999999999999998E-002 0.113634
1 4.5999999999999999E-002 0.116405
1 4.7000000000000000E-002 0.119079
1 4.8000000000000001E-002 0.121566
1 4.9000000000000002E-002 0.124355
1 5.0000000000000003E-002 0.126958
1 5.0999999999999997E-002 0.12925
1 5.1999999999999998E-002 0.132071
1 5.2999999999999999E-002 0.134532
1 5.3999999999999999E-002 0.137382
1 5.5000000000000000E-002 0.140105
1 5.6000000000000001E-002 0.142614
1 5.7000000000000002E-002 0.145081
1 5.8000000000000003E-002 0.147828
1 5.8999999999999997E-002 0.151049
1 5.9999999999999998E-002 0.153599
1 6.0999999999999999E-002 0.156126
1 6.2000000000000000E-002 0.158747
1 6.3000000000000000E-002 0.161361
1 6.4000000000000001E-002 0.164494
1 6.5000000000000002E-002 0.167334
1 6.6000000000000003E-002 0.169593
1 6.7000000000000004E-002 0.172636
1 6.8000000000000005E-002 0.175382
1 6.9000000000000006E-002 0.178124
1 7.0000000000000007E-002 0.180698
1 7.0999999999999994E-002 0.183469
1 7.1999999999999995E-002 0.186202
1 7.2999999999999995E-002 0.189101
1 7.3999999999999996E-002 0.191623
1 7.4999999999999997E-002 0.194131
1 7.5999999999999998E-002 0.196729
1 7.6999999999999999E-002 0.199236
1 7.8000000000000000E-002 0.202048
1 7.9000000000000001E-002 0.204425
1 8.0000000000000002E-002 0.207185
1 8.1000000000000003E-002 0.209608
1 8.2000000000000003E-002 0.212206
1 8.3000000000000004E-002 0.214684
1 8.4000000000000005E-002 0.217295
1 8.5000000000000006E-002 0.220014
1 8.5999999999999993E-002 0.222549
1 8.6999999999999994E-002 0.225229
1 8.7999999999999995E-002 0.227798
1 8.8999999999999996E-002 0.230468
1 8.9999999999999997E-002 0.233248
1 9.0999999999999998E-002 0.235592
1 9.1999999999999998E-002 0.2379
1 9.2999999999999999E-002 0.240493
1 9.4000000000000000E-002 0.242756
1 9.5000000000000001E-002 0.24534
1 9.6000000000000002E-002 0.247819
1 9.7000000000000003E-002 0.25024
1 9.8000000000000004E-002 0.252647
1 9.9000000000000005E-002 0.255185
1 0.10000000000000001 0.257553
