time,alpha=0.0,alpha=0.5,alpha=1.0
7.000000000000000000e+00,9.631640000000000201e-01,9.533230000000000315e-01,8.750069999999999792e-01
7.099999999999999645e+00,9.628900000000000237e-01,9.532080000000000553e-01,8.751649999999999707e-01
7.200000000000000178e+00,9.626200000000000312e-01,9.530980000000000008e-01,8.753410000000000357e-01
7.299999999999999822e+00,9.623530000000000140e-01,9.529929999999999790e-01,8.755290000000000017e-01
7.400000000000000355e+00,9.620900000000000007e-01,9.528900000000000148e-01,8.757249999999999757e-01
7.500000000000000000e+00,9.618290000000000450e-01,9.527889999999999970e-01,8.759240000000000359e-01
7.599999999999999645e+00,9.615690000000000071e-01,9.526890000000000081e-01,8.761240000000000139e-01
7.700000000000000178e+00,9.613120000000000553e-01,9.525869999999999616e-01,8.763199999999999878e-01
7.799999999999999822e+00,9.610560000000000214e-01,9.524839999999999973e-01,8.765100000000000113e-01
7.900000000000000355e+00,9.608010000000000161e-01,9.523789999999999756e-01,8.766909999999999981e-01
8.000000000000000000e+00,9.605470000000000397e-01,9.522709999999999786e-01,8.768610000000000015e-01
8.099999999999999645e+00,9.602939999999999809e-01,9.521600000000000064e-01,8.770179999999999643e-01
8.199999999999999289e+00,9.600429999999999797e-01,9.520459999999999479e-01,8.771600000000000508e-01
8.300000000000000711e+00,9.597930000000000073e-01,9.519279999999999964e-01,8.772879999999999567e-01
8.400000000000000355e+00,9.595430000000000348e-01,9.518060000000000409e-01,8.773999999999999577e-01
8.500000000000000000e+00,9.592950000000000088e-01,9.516799999999999704e-01,8.774969999999999715e-01
8.599999999999999645e+00,9.590480000000000116e-01,9.515500000000000069e-01,8.775770000000000515e-01
8.699999999999999289e+00,9.588010000000000144e-01,9.514169999999999572e-01,8.776410000000000045e-01
8.800000000000000711e+00,9.585550000000000459e-01,9.512789999999999857e-01,8.776880000000000237e-01
8.900000000000000355e+00,9.583089999999999664e-01,9.511370000000000102e-01,8.777199999999999447e-01
9.000000000000000000e+00,9.580640000000000267e-01,9.509910000000000307e-01,8.777359999999999607e-01
9.099999999999999645e+00,9.578179999999999472e-01,9.508400000000000185e-01,8.777359999999999607e-01
1.009999999999999964e+01,9.553319999999999590e-01,9.490589999999999860e-01,8.769090000000000495e-01
1.109999999999999964e+01,9.528480000000000283e-01,9.469779999999999864e-01,8.750959999999999850e-01
1.209999999999999964e+01,9.504209999999999603e-01,9.450840000000000352e-01,8.734859999999999847e-01
1.309999999999999964e+01,9.481570000000000276e-01,9.434200000000000363e-01,8.724250000000000060e-01
1.409999999999999964e+01,9.459100000000000286e-01,9.416919999999999735e-01,8.712699999999999889e-01
1.509999999999999964e+01,9.435829999999999496e-01,9.398079999999999767e-01,8.697080000000000366e-01
1.610000000000000142e+01,9.412070000000000158e-01,9.378940000000000055e-01,8.677510000000000501e-01
