time,alpha=0.0,alpha=0.5,alpha=1.0
4.599999999999999645e+00,8.998969999999999470e-01,9.635449999999999848e-01,9.675160000000000426e-01
4.700000000000000178e+00,8.988270000000000426e-01,9.630880000000000551e-01,9.670649999999999524e-01
4.799999999999999822e+00,8.977910000000000057e-01,9.626419999999999977e-01,9.666249999999999565e-01
4.900000000000000355e+00,8.967880000000000296e-01,9.622060000000000057e-01,9.661950000000000260e-01
5.000000000000000000e+00,8.958180000000000032e-01,9.617809999999999970e-01,9.657759999999999678e-01
5.099999999999999645e+00,8.948779999999999513e-01,9.613660000000000538e-01,9.653680000000000039e-01
5.200000000000000178e+00,8.939679999999999849e-01,9.609600000000000364e-01,9.649720000000000519e-01
5.299999999999999822e+00,8.930869999999999642e-01,9.605639999999999734e-01,9.645869999999999722e-01
5.400000000000000355e+00,8.922339999999999716e-01,9.601779999999999760e-01,9.642140000000000155e-01
5.500000000000000000e+00,8.914079999999999782e-01,9.597999999999999865e-01,9.638529999999999598e-01
5.599999999999999645e+00,8.906089999999999840e-01,9.594329999999999803e-01,9.635040000000000271e-01
5.700000000000000178e+00,8.898359999999999603e-01,9.590739999999999821e-01,9.631669999999999954e-01
5.799999999999999822e+00,8.890900000000000469e-01,9.587250000000000494e-01,9.628430000000000044e-01
5.900000000000000355e+00,8.883699999999999930e-01,9.583859999999999602e-01,9.625310000000000255e-01
6.000000000000000000e+00,8.876770000000000493e-01,9.580570000000000475e-01,9.622319999999999762e-01
6.099999999999999645e+00,8.870120000000000227e-01,9.577369999999999495e-01,9.619440000000000213e-01
6.200000000000000178e+00,8.863739999999999952e-01,9.574279999999999458e-01,9.616679999999999673e-01
6.299999999999999822e+00,8.857650000000000245e-01,9.571279999999999788e-01,9.614030000000000076e-01
6.400000000000000355e+00,8.851849999999999996e-01,9.568389999999999951e-01,9.611490000000000311e-01
6.500000000000000000e+00,8.846349999999999492e-01,9.565599999999999659e-01,9.609060000000000379e-01
6.599999999999999645e+00,8.841139999999999555e-01,9.562910000000000021e-01,9.606710000000000527e-01
6.700000000000000178e+00,8.836230000000000473e-01,9.560309999999999642e-01,9.604460000000000219e-01
6.799999999999999822e+00,8.831609999999999738e-01,9.557799999999999629e-01,9.602279999999999704e-01
6.900000000000000355e+00,8.827270000000000394e-01,9.555379999999999985e-01,9.600170000000000092e-01
7.000000000000000000e+00,8.823199999999999932e-01,9.553040000000000420e-01,9.598119999999999985e-01
7.099999999999999645e+00,8.819390000000000285e-01,9.550769999999999538e-01,9.596120000000000205e-01
7.200000000000000178e+00,8.815800000000000303e-01,9.548569999999999558e-01,9.594160000000000466e-01
7.299999999999999822e+00,8.812419999999999698e-01,9.546409999999999618e-01,9.592230000000000478e-01
7.400000000000000355e+00,8.809219999999999828e-01,9.544300000000000006e-01,9.590319999999999956e-01
7.500000000000000000e+00,8.806190000000000406e-01,9.542230000000000434e-01,9.588419999999999721e-01
7.599999999999999645e+00,8.803290000000000282e-01,9.540180000000000327e-01,9.586529999999999774e-01
7.700000000000000178e+00,8.800499999999999989e-01,9.538149999999999684e-01,9.584629999999999539e-01
7.799999999999999822e+00,8.797810000000000352e-01,9.536120000000000152e-01,9.582720000000000127e-01
7.900000000000000355e+00,8.795190000000000508e-01,9.534099999999999797e-01,9.580800000000000427e-01
8.000000000000000000e+00,8.792630000000000168e-01,9.532080000000000553e-01,9.578860000000000152e-01
8.099999999999999645e+00,8.790130000000000443e-01,9.530049999999999910e-01,9.576890000000000125e-01
8.199999999999999289e+00,8.787669999999999648e-01,9.528020000000000378e-01,9.574909999999999810e-01
8.300000000000000711e+00,8.785260000000000291e-01,9.525970000000000271e-01,9.572899999999999743e-01
8.400000000000000355e+00,8.782889999999999864e-01,9.523920000000000163e-01,9.570870000000000211e-01
8.500000000000000000e+00,8.780559999999999476e-01,9.521859999999999769e-01,9.568809999999999816e-01
8.599999999999999645e+00,8.778270000000000239e-01,9.519779999999999909e-01,9.566729999999999956e-01
8.699999999999999289e+00,8.776040000000000507e-01,9.517700000000000049e-01,9.564620000000000344e-01
8.800000000000000711e+00,8.773859999999999992e-01,9.515620000000000189e-01,9.562500000000000444e-01
8.900000000000000355e+00,8.771729999999999805e-01,9.513530000000000042e-01,9.560349999999999682e-01
9.000000000000000000e+00,8.769660000000000233e-01,9.511439999999999895e-01,9.558189999999999742e-01
9.099999999999999645e+00,8.767650000000000166e-01,9.509360000000000035e-01,9.556000000000000050e-01
1.009999999999999964e+01,8.749959999999999960e-01,9.488879999999999537e-01,9.533260000000000067e-01
1.109999999999999964e+01,8.729289999999999550e-01,9.468370000000000397e-01,9.509490000000000443e-01
1.209999999999999964e+01,8.705249999999999932e-01,9.447889999999999899e-01,9.486379999999999812e-01
1.309999999999999964e+01,8.693480000000000096e-01,9.430790000000000006e-01,9.464740000000000375e-01
1.409999999999999964e+01,8.688200000000000367e-01,9.415430000000000188e-01,9.442509999999999515e-01
1.509999999999999964e+01,8.669069999999999832e-01,9.396139999999999493e-01,9.417990000000000528e-01
1.610000000000000142e+01,8.642290000000000250e-01,9.375059999999999505e-01,9.392549999999999510e-01
1.710000000000000142e+01,8.632840000000000513e-01,9.358779999999999877e-01,9.369269999999999543e-01
1.810000000000000142e+01,8.626270000000000326e-01,9.342829999999999746e-01,9.347919999999999563e-01
1.910000000000000142e+01,8.606179999999999941e-01,9.323879999999999946e-01,9.325679999999999525e-01
2.010000000000000142e+01,8.579400000000000359e-01,9.304519999999999458e-01,9.303489999999999815e-01
2.110000000000000142e+01,8.558029999999999804e-01,9.286250000000000338e-01,9.282099999999999795e-01
2.210000000000000142e+01,8.535779999999999479e-01,9.266520000000000312e-01,9.260810000000000430e-01
2.310000000000000142e+01,8.526519999999999655e-01,9.251660000000000439e-01,9.240080000000000515e-01
2.410000000000000142e+01,8.531889999999999752e-01,9.241489999999999982e-01,9.221179999999999932e-01
2.510000000000000142e+01,8.537360000000000504e-01,9.231530000000000014e-01,9.203179999999999694e-01
2.610000000000000142e+01,8.526860000000000550e-01,9.217659999999999743e-01,9.184409999999999519e-01
2.710000000000000142e+01,8.501859999999999973e-01,9.199310000000000542e-01,9.164689999999999781e-01
2.810000000000000142e+01,8.482189999999999452e-01,9.182059999999999667e-01,9.145769999999999733e-01
2.910000000000000142e+01,8.471119999999999761e-01,9.166990000000000416e-01,9.127530000000000365e-01
