time,alpha=0.0,alpha=0.5,alpha=1.0
7.900000000000000355e+00,9.674739999999999451e-01,9.826789999999999692e-01,9.673640000000000017e-01
8.000000000000000000e+00,9.673840000000000217e-01,9.826500000000000234e-01,9.673899999999999721e-01
8.099999999999999645e+00,9.672950000000000159e-01,9.826200000000000490e-01,9.674129999999999674e-01
8.199999999999999289e+00,9.672070000000000389e-01,9.825899999999999634e-01,9.674310000000000409e-01
8.300000000000000711e+00,9.671199999999999797e-01,9.825589999999999602e-01,9.674449999999999994e-01
8.400000000000000355e+00,9.670330000000000314e-01,9.825260000000000105e-01,9.674549999999999539e-01
8.500000000000000000e+00,9.669470000000000010e-01,9.824899999999999745e-01,9.674599999999999866e-01
8.599999999999999645e+00,9.668609999999999705e-01,9.824530000000000207e-01,9.674599999999999866e-01
8.699999999999999289e+00,9.667750000000000510e-01,9.824140000000000095e-01,9.674549999999999539e-01
8.800000000000000711e+00,9.666900000000000492e-01,9.823720000000000230e-01,9.674469999999999459e-01
8.900000000000000355e+00,9.666059999999999652e-01,9.823279999999999790e-01,9.674340000000000162e-01
9.000000000000000000e+00,9.665230000000000210e-01,9.822819999999999885e-01,9.674169999999999714e-01
9.099999999999999645e+00,9.664409999999999945e-01,9.822340000000000515e-01,9.673969999999999514e-01
1.009999999999999964e+01,9.656989999999999741e-01,9.816709999999999603e-01,9.669569999999999554e-01
1.109999999999999964e+01,9.649140000000000494e-01,9.809790000000000454e-01,9.660999999999999588e-01
1.209999999999999964e+01,9.640060000000000295e-01,9.803699999999999637e-01,9.653880000000000239e-01
1.309999999999999964e+01,9.634899999999999576e-01,9.800290000000000390e-01,9.652530000000000276e-01
1.409999999999999964e+01,9.632199999999999651e-01,9.796820000000000528e-01,9.651049999999999907e-01
1.509999999999999964e+01,9.625989999999999824e-01,9.791260000000000518e-01,9.643300000000000205e-01
1.610000000000000142e+01,9.615629999999999455e-01,9.783870000000000067e-01,9.630630000000000024e-01
