time,alpha=0.0,alpha=0.5,alpha=1.0
6.700000000000000178e+00,9.423049999999999482e-01,9.618510000000000115e-01,9.186769999999999659e-01
6.799999999999999822e+00,9.415850000000000053e-01,9.614329999999999821e-01,9.180819999999999537e-01
6.900000000000000355e+00,9.408600000000000296e-01,9.610090000000000021e-01,9.174729999999999830e-01
7.000000000000000000e+00,9.401310000000000500e-01,9.605810000000000182e-01,9.168530000000000291e-01
7.099999999999999645e+00,9.394000000000000128e-01,9.601490000000000302e-01,9.162249999999999561e-01
7.200000000000000178e+00,9.386710000000000331e-01,9.597160000000000135e-01,9.155969999999999942e-01
7.299999999999999822e+00,9.379469999999999752e-01,9.592840000000000256e-01,9.149730000000000363e-01
7.400000000000000355e+00,9.372310000000000363e-01,9.588560000000000416e-01,9.143599999999999506e-01
7.500000000000000000e+00,9.365250000000000519e-01,9.584340000000000082e-01,9.137640000000000207e-01
7.599999999999999645e+00,9.358319999999999972e-01,9.580210000000000115e-01,9.131920000000000037e-01
7.700000000000000178e+00,9.351540000000000408e-01,9.576170000000000515e-01,9.126469999999999860e-01
7.799999999999999822e+00,9.344930000000000181e-01,9.572260000000000213e-01,9.121359999999999468e-01
7.900000000000000355e+00,9.338499999999999579e-01,9.568470000000000031e-01,9.116619999999999724e-01
8.000000000000000000e+00,9.332249999999999712e-01,9.564829999999999721e-01,9.112270000000000092e-01
8.099999999999999645e+00,9.326179999999999470e-01,9.561319999999999819e-01,9.108319999999999750e-01
8.199999999999999289e+00,9.320289999999999964e-01,9.557970000000000077e-01,9.104790000000000383e-01
8.300000000000000711e+00,9.314569999999999794e-01,9.554749999999999632e-01,9.101650000000000018e-01
8.400000000000000355e+00,9.308999999999999497e-01,9.551659999999999595e-01,9.098880000000000301e-01
8.500000000000000000e+00,9.303559999999999608e-01,9.548699999999999966e-01,9.096450000000000369e-01
8.599999999999999645e+00,9.298239999999999839e-01,9.545839999999999881e-01,9.094320000000000181e-01
8.699999999999999289e+00,9.293019999999999614e-01,9.543080000000000451e-01,9.092449999999999699e-01
8.800000000000000711e+00,9.287870000000000292e-01,9.540399999999999991e-01,9.090780000000000527e-01
8.900000000000000355e+00,9.282770000000000188e-01,9.537780000000000147e-01,9.089270000000000405e-01
9.000000000000000000e+00,9.277699999999999836e-01,9.535209999999999519e-01,9.087859999999999827e-01
9.099999999999999645e+00,9.272639999999999771e-01,9.532659999999999467e-01,9.086509999999999865e-01
1.009999999999999964e+01,9.220639999999999947e-01,9.506919999999999815e-01,9.072179999999999689e-01
1.109999999999999964e+01,9.174670000000000325e-01,9.484339999999999993e-01,9.065680000000000405e-01
1.209999999999999964e+01,9.140660000000000451e-01,9.467579999999999885e-01,9.071430000000000327e-01
1.309999999999999964e+01,9.102670000000000483e-01,9.442800000000000082e-01,9.051690000000000014e-01
1.409999999999999964e+01,9.051500000000000101e-01,9.402230000000000310e-01,8.986779999999999768e-01
1.509999999999999964e+01,9.003290000000000459e-01,9.362890000000000379e-01,8.920799999999999841e-01
1.610000000000000142e+01,8.970609999999999973e-01,9.336929999999999952e-01,8.888829999999999787e-01
1.710000000000000142e+01,8.945849999999999635e-01,9.318290000000000184e-01,8.880580000000000140e-01
1.810000000000000142e+01,8.923480000000000301e-01,9.302850000000000286e-01,8.883349999999999858e-01
1.910000000000000142e+01,8.898179999999999978e-01,9.284989999999999633e-01,8.879369999999999763e-01
2.010000000000000142e+01,8.868099999999999872e-01,9.263419999999999987e-01,8.863550000000000040e-01
2.110000000000000142e+01,8.840810000000000057e-01,9.243240000000000345e-01,8.850510000000000321e-01
2.210000000000000142e+01,8.821200000000000152e-01,9.228800000000000336e-01,8.850789999999999491e-01
2.310000000000000142e+01,8.803640000000000354e-01,9.216779999999999973e-01,8.854279999999999928e-01
2.410000000000000142e+01,8.785600000000000076e-01,9.202360000000000539e-01,8.849900000000000544e-01
2.510000000000000142e+01,8.766540000000000443e-01,9.185839999999999561e-01,8.834699999999999775e-01
2.610000000000000142e+01,8.742879999999999541e-01,9.165050000000000141e-01,8.802769999999999762e-01
2.710000000000000142e+01,8.714039999999999564e-01,9.140639999999999876e-01,8.757949999999999902e-01
2.810000000000000142e+01,8.685410000000000075e-01,9.116830000000000211e-01,8.713229999999999587e-01
2.910000000000000142e+01,8.660930000000000017e-01,9.096349999999999714e-01,8.678259999999999863e-01
3.010000000000000142e+01,8.640660000000000007e-01,9.078019999999999978e-01,8.654199999999999671e-01
3.110000000000000142e+01,8.623579999999999579e-01,9.061540000000000150e-01,8.636740000000000528e-01
3.210000000000000142e+01,8.607669999999999488e-01,9.046589999999999909e-01,8.620219999999999549e-01
3.310000000000000142e+01,8.591440000000000188e-01,9.031139999999999723e-01,8.601990000000000469e-01
3.410000000000000142e+01,8.577649999999999997e-01,9.015739999999999865e-01,8.584239999999999648e-01
3.510000000000000142e+01,8.565730000000000288e-01,9.001069999999999904e-01,8.566709999999999603e-01
3.610000000000000142e+01,8.553319999999999812e-01,8.986210000000000031e-01,8.548170000000000490e-01
3.710000000000000142e+01,8.539710000000000356e-01,8.970500000000000140e-01,8.529290000000000482e-01
3.810000000000000142e+01,8.525509999999999478e-01,8.954670000000000130e-01,8.510950000000000459e-01
3.910000000000000142e+01,8.511159999999999837e-01,8.939679999999999849e-01,8.494150000000000311e-01
4.010000000000000142e+01,8.496230000000000171e-01,8.925779999999999825e-01,8.479069999999999663e-01
4.110000000000000142e+01,8.483579999999999455e-01,8.912970000000000059e-01,8.466829999999999634e-01
4.210000000000000142e+01,8.471680000000000321e-01,8.901639999999999553e-01,8.455850000000000311e-01
4.310000000000000142e+01,8.459999999999999742e-01,8.890160000000000284e-01,8.446540000000000159e-01
4.410000000000000142e+01,8.448499999999999899e-01,8.878420000000000201e-01,8.437139999999999640e-01
4.510000000000000142e+01,8.436949999999999728e-01,8.866950000000000109e-01,8.426439999999999486e-01
4.610000000000000142e+01,8.425019999999999731e-01,8.855070000000000441e-01,8.415120000000000378e-01
4.710000000000000142e+01,8.413319999999999688e-01,8.842320000000000180e-01,8.403629999999999711e-01
4.810000000000000142e+01,8.401859999999999884e-01,8.828759999999999941e-01,8.391370000000000218e-01
4.910000000000000142e+01,8.389170000000000238e-01,8.815779999999999728e-01,8.376540000000000097e-01
5.010000000000000142e+01,8.376010000000000399e-01,8.802240000000000064e-01,8.360379999999999479e-01
5.110000000000000142e+01,8.363239999999999563e-01,8.788010000000000543e-01,8.343880000000000186e-01
5.210000000000000142e+01,8.349729999999999652e-01,8.773739999999999872e-01,8.327550000000000230e-01
5.310000000000000142e+01,8.336209999999999454e-01,8.760280000000000289e-01,8.310689999999999467e-01
5.410000000000000142e+01,8.323850000000000415e-01,8.746789999999999843e-01,8.294810000000000239e-01
5.510000000000000142e+01,8.311140000000000194e-01,8.733549999999999924e-01,8.279849999999999710e-01
5.610000000000000142e+01,8.297470000000000123e-01,8.721029999999999616e-01,8.265460000000000029e-01
5.710000000000000142e+01,8.284289999999999710e-01,8.707669999999999577e-01,8.252610000000000223e-01
5.810000000000000142e+01,8.272239999999999593e-01,8.694520000000000026e-01,8.239250000000000185e-01
5.910000000000000142e+01,8.259520000000000195e-01,8.681750000000000300e-01,8.224810000000000176e-01
6.010000000000000142e+01,8.247349999999999959e-01,8.669430000000000192e-01,8.210410000000000208e-01
6.110000000000000142e+01,8.235700000000000243e-01,8.656629999999999603e-01,8.196670000000000345e-01
6.210000000000000142e+01,8.224169999999999536e-01,8.644359999999999822e-01,8.183249999999999691e-01
6.310000000000000142e+01,8.212829999999999853e-01,8.632570000000000521e-01,8.169790000000000108e-01
6.409999999999999432e+01,8.202469999999999484e-01,8.620079999999999965e-01,8.157419999999999671e-01
6.509999999999999432e+01,8.191420000000000368e-01,8.607860000000000511e-01,8.145750000000000490e-01
6.609999999999999432e+01,8.180020000000000069e-01,8.596799999999999997e-01,8.135559999999999459e-01
6.709999999999999432e+01,8.169560000000000155e-01,8.586179999999999923e-01,8.125550000000000272e-01
6.809999999999999432e+01,8.158699999999999841e-01,8.575460000000000305e-01,8.115949999999999553e-01
6.909999999999999432e+01,8.147250000000000325e-01,8.565620000000000456e-01,8.106919999999999682e-01
7.009999999999999432e+01,8.136339999999999684e-01,8.554549999999999654e-01,8.097910000000000386e-01
7.109999999999999432e+01,8.126200000000000090e-01,8.542640000000000233e-01,8.088509999999999867e-01
7.209999999999999432e+01,8.115430000000000144e-01,8.531400000000000095e-01,8.077600000000000335e-01
7.309999999999999432e+01,8.105109999999999815e-01,8.520759999999999446e-01,8.065250000000000474e-01
7.409999999999999432e+01,8.094540000000000068e-01,8.509860000000000202e-01,8.052759999999999918e-01
