# XXZ spin chain 
# MCLM for L=32, Delta=0.600
# High-T spin conductivity sigma(omega)
# omega/J sigma(omega) sigma(omega){rescaled} 

0.01164 0.06348 0.86348
0.01166 0.06377 0.86377
0.01168 0.06407 0.86407
0.01170 0.06436 0.86436
0.01172 0.06465 0.86465
0.01174 0.06495 0.86495
0.01176 0.06525 0.86525
0.01178 0.06555 0.86555
0.01180 0.06585 0.86585
0.01182 0.06615 0.86615
0.01184 0.06646 0.86646
0.01186 0.06676 0.86676
0.01188 0.06706 0.86706
0.01190 0.06737 0.86737
0.01192 0.06768 0.86768
0.01194 0.06798 0.86798
0.01196 0.06829 0.86829
0.01198 0.06860 0.8686
0.01200 0.06891 0.86891
0.01202 0.06922 0.86922
0.01204 0.06953 0.86953
0.01206 0.06984 0.86984
0.01208 0.07016 0.87016
0.01210 0.07049 0.87049
0.01212 0.07081 0.87081
0.01214 0.07113 0.87113
0.01216 0.07146 0.87146
0.01218 0.07178 0.87178
0.01220 0.07210 0.8721
0.01222 0.07243 0.87243
0.01224 0.07276 0.87276
0.01226 0.07309 0.87309
0.01228 0.07342 0.87342
0.01230 0.07374 0.87374
0.01232 0.07407 0.87407
0.01234 0.07440 0.8744
0.01236 0.07473 0.87473
0.01238 0.07507 0.87507
0.01240 0.07540 0.8754
0.01242 0.07574 0.87574
0.01244 0.07607 0.87607
0.01246 0.07641 0.87641
0.01248 0.07675 0.87675
0.01250 0.07708 0.87708
0.01252 0.07741 0.87741
0.01254 0.07775 0.87775
0.01256 0.07808 0.87808
0.01258 0.07841 0.87841
0.01260 0.07874 0.87874
0.01262 0.07907 0.87907
0.01264 0.07939 0.87939
0.01266 0.07972 0.87972
0.01268 0.08005 0.88005
0.01270 0.08038 0.88038
0.01272 0.08070 0.8807
0.01274 0.08103 0.88103
0.01276 0.08135 0.88135
0.01278 0.08167 0.88167
0.01280 0.08199 0.88199
0.01282 0.08231 0.88231
0.01284 0.08264 0.88264
0.01286 0.08296 0.88296
0.01288 0.08327 0.88327
0.01290 0.08359 0.88359
0.01292 0.08390 0.8839
0.01294 0.08421 0.88421
0.01296 0.08452 0.88452
0.01298 0.08482 0.88482
0.01300 0.08512 0.88512
0.01302 0.08543 0.88543
0.01304 0.08573 0.88573
0.01306 0.08603 0.88603
0.01308 0.08634 0.88634
0.01310 0.08665 0.88665
0.01312 0.08695 0.88695
0.01314 0.08725 0.88725
0.01316 0.08754 0.88754
0.01318 0.08784 0.88784
0.01320 0.08812 0.88812
0.01322 0.08841 0.88841
0.01324 0.08869 0.88869
0.01326 0.08897 0.88897
0.01328 0.08925 0.88925
0.01330 0.08953 0.88953
0.01332 0.08981 0.88981
0.01334 0.09009 0.89009
0.01336 0.09036 0.89036
0.01338 0.09063 0.89063
0.01340 0.09090 0.8909
0.01342 0.09116 0.89116
0.01344 0.09142 0.89142
0.01346 0.09168 0.89168
0.01348 0.09193 0.89193
0.01350 0.09218 0.89218
0.01352 0.09243 0.89243
0.01354 0.09268 0.89268
0.01356 0.09292 0.89292
0.01358 0.09316 0.89316
0.01360 0.09339 0.89339
0.01362 0.09362 0.89362
0.01364 0.09385 0.89385
0.01366 0.09408 0.89408
0.01368 0.09431 0.89431
0.01370 0.09454 0.89454
0.01372 0.09476 0.89476
0.01374 0.09497 0.89497
0.01376 0.09518 0.89518
0.01378 0.09538 0.89538
0.01380 0.09558 0.89558
0.01382 0.09578 0.89578
0.01384 0.09597 0.89597
0.01386 0.09617 0.89617
0.01388 0.09635 0.89635
0.01390 0.09654 0.89654
0.01392 0.09672 0.89672
0.01394 0.09689 0.89689
0.01396 0.09707 0.89707
0.01398 0.09724 0.89724
0.01400 0.09741 0.89741
0.01402 0.09758 0.89758
0.01404 0.09774 0.89774
0.01406 0.09790 0.8979
0.01408 0.09805 0.89805
0.01410 0.09820 0.8982
0.01412 0.09835 0.89835
0.01414 0.09849 0.89849
0.01416 0.09863 0.89863
0.01418 0.09877 0.89877
0.01420 0.09891 0.89891
0.01422 0.09904 0.89904
0.01424 0.09917 0.89917
0.01426 0.09930 0.8993
0.01428 0.09942 0.89942
0.01430 0.09954 0.89954
0.01432 0.09966 0.89966
0.01434 0.09977 0.89977
0.01436 0.09988 0.89988
0.01438 0.09999 0.89999
0.01440 0.10009 0.90009
0.01442 0.10020 0.9002
0.01444 0.10030 0.9003
0.01446 0.10040 0.9004
0.01448 0.10050 0.9005
0.01450 0.10060 0.9006
0.01452 0.10069 0.90069
0.01454 0.10078 0.90078
0.01456 0.10087 0.90087
0.01458 0.10096 0.90096
0.01460 0.10105 0.90105
0.01462 0.10113 0.90113
0.01464 0.10121 0.90121
0.01466 0.10130 0.9013
0.01468 0.10138 0.90138
0.01470 0.10145 0.90145
0.01472 0.10153 0.90153
0.01474 0.10160 0.9016
0.01476 0.10167 0.90167
0.01478 0.10174 0.90174
0.01480 0.10181 0.90181
0.01482 0.10188 0.90188
0.01484 0.10194 0.90194
0.01486 0.10200 0.902
0.01488 0.10206 0.90206
0.01490 0.10211 0.90211
0.01492 0.10217 0.90217
0.01494 0.10222 0.90222
0.01496 0.10227 0.90227
0.01498 0.10232 0.90232
0.01500 0.10236 0.90236
0.01502 0.10240 0.9024
0.01504 0.10244 0.90244
0.01506 0.10248 0.90248
0.01508 0.10251 0.90251
0.01510 0.10255 0.90255
0.01512 0.10258 0.90258
0.01514 0.10261 0.90261
0.01516 0.10264 0.90264
0.01518 0.10267 0.90267
0.01520 0.10269 0.90269
0.01522 0.10272 0.90272
0.01524 0.10274 0.90274
0.01526 0.10276 0.90276
0.01528 0.10278 0.90278
0.01530 0.10279 0.90279
0.01532 0.10281 0.90281
0.01534 0.10282 0.90282
0.01536 0.10283 0.90283
0.01538 0.10285 0.90285
0.01540 0.10286 0.90286
0.01542 0.10288 0.90288
0.01544 0.10289 0.90289
0.01546 0.10289 0.90289
0.01548 0.10290 0.9029
0.01550 0.10290 0.9029
0.01552 0.10290 0.9029
0.01554 0.10290 0.9029
0.01556 0.10289 0.90289
0.01558 0.10289 0.90289
0.01560 0.10288 0.90288
0.01562 0.10288 0.90288
0.01564 0.10287 0.90287
0.01566 0.10286 0.90286
0.01568 0.10285 0.90285
0.01570 0.10284 0.90284
0.01572 0.10283 0.90283
0.01574 0.10281 0.90281
0.01576 0.10279 0.90279
0.01578 0.10277 0.90277
0.01580 0.10275 0.90275
0.01582 0.10272 0.90272
0.01584 0.10269 0.90269
0.01586 0.10266 0.90266
0.01588 0.10263 0.90263
0.01590 0.10260 0.9026
0.01592 0.10256 0.90256
0.01594 0.10253 0.90253
0.01596 0.10249 0.90249
0.01598 0.10246 0.90246
0.01600 0.10242 0.90242
0.01602 0.10238 0.90238
0.01604 0.10234 0.90234
0.01606 0.10229 0.90229
0.01608 0.10225 0.90225
0.01610 0.10220 0.9022
0.01612 0.10216 0.90216
0.01614 0.10211 0.90211
0.01616 0.10207 0.90207
0.01618 0.10202 0.90202
0.01620 0.10197 0.90197
0.01622 0.10192 0.90192
0.01624 0.10187 0.90187
0.01626 0.10182 0.90182
0.01628 0.10176 0.90176
0.01630 0.10170 0.9017
0.01632 0.10164 0.90164
0.01634 0.10159 0.90159
0.01636 0.10153 0.90153
0.01638 0.10148 0.90148
0.01640 0.10143 0.90143
0.01642 0.10137 0.90137
0.01644 0.10131 0.90131
0.01646 0.10125 0.90125
0.01648 0.10119 0.90119
0.01650 0.10112 0.90112
0.01652 0.10106 0.90106
0.01654 0.10100 0.901
0.01656 0.10095 0.90095
0.01658 0.10089 0.90089
0.01660 0.10083 0.90083
0.01662 0.10077 0.90077
0.01664 0.10071 0.90071
0.01666 0.10065 0.90065
0.01668 0.10058 0.90058
0.01670 0.10052 0.90052
0.01672 0.10044 0.90044
0.01674 0.10037 0.90037
0.01676 0.10029 0.90029
0.01678 0.10021 0.90021
0.01680 0.10014 0.90014
0.01682 0.10007 0.90007
0.01684 0.10000 0.9
0.01686 0.09993 0.89993
0.01688 0.09987 0.89987
0.01690 0.09981 0.89981
0.01692 0.09974 0.89974
0.01694 0.09968 0.89968
0.01696 0.09962 0.89962
0.01698 0.09955 0.89955
0.01700 0.09949 0.89949
0.01702 0.09942 0.89942
0.01704 0.09937 0.89937
0.01706 0.09931 0.89931
0.01708 0.09925 0.89925
0.01710 0.09919 0.89919
0.01712 0.09914 0.89914
0.01714 0.09908 0.89908
0.01716 0.09903 0.89903
0.01718 0.09899 0.89899
0.01720 0.09894 0.89894
0.01722 0.09890 0.8989
0.01724 0.09886 0.89886
0.01726 0.09882 0.89882
0.01728 0.09878 0.89878
0.01730 0.09873 0.89873
0.01732 0.09869 0.89869
0.01734 0.09865 0.89865
0.01736 0.09861 0.89861
0.01738 0.09858 0.89858
0.01740 0.09854 0.89854
0.01742 0.09850 0.8985
0.01744 0.09845 0.89845
0.01746 0.09841 0.89841
0.01748 0.09837 0.89837
0.01750 0.09834 0.89834
0.01752 0.09830 0.8983
0.01754 0.09827 0.89827
0.01756 0.09825 0.89825
0.01758 0.09823 0.89823
0.01760 0.09821 0.89821
0.01762 0.09820 0.8982
0.01764 0.09818 0.89818
0.01766 0.09816 0.89816
